ShortUniqueID, PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
01010,Trial_InshoreOffshore,2000_1_1,34105,0,29,0,30.00,26.31,26.31,OFF,30.00,27.25,27.25,OFF,30.00,27.12,27.12,OFF,30.00,26.62,26.62,OFF,
01010,Trial_InshoreOffshore,2000_1_1,39764,0,29,0,30.00,26.31,26.31,HTR,30.00,27.19,27.19,HTR,30.00,27.12,27.12,HTR,30.00,26.56,26.56,HTR,
ShortUniqueID, PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
01010,UM_Apal_Jun2022,2022_6_8,33564,8,7,31,30.00,70.10,85.00,CHL,30.00,26.69,26.69,OFF,30.00,26.81,26.81,OFF,30.00,26.87,26.87,OFF,
01010,UM_Apal_Jun2022,2022_6_8,39218,8,7,31,30.00,70.10,85.00,CHL,30.00,26.69,26.69,HTR,30.00,26.81,26.81,HTR,30.00,26.94,26.94,HTR,
01010,UM_Apal_Jun2022,2022_6_8,44689,8,7,31,30.00,70.10,85.00,CHL,30.00,26.69,26.69,HTR,30.00,26.81,26.81,HTR,30.00,26.94,26.94,HTR,
01010,UM_Apal_Jun2022,2022_6_8,50160,8,7,31,30.00,70.10,85.00,CHL,30.00,26.69,26.69,HTR,30.00,26.81,26.81,HTR,30.00,26.94,26.94,HTR,
01010,UM_Apal_Jun2022,2022_6_8,55634,8,7,31,30.00,70.10,85.00,CHL,30.00,26.69,26.69,HTR,30.00,26.81,26.81,HTR,30.00,26.94,26.94,HTR,
01010,UM_Apal_Jun2022,2022_6_8,61106,8,8,30,30.00,70.10,85.00,CHL,30.00,26.75,26.75,HTR,30.00,26.81,26.81,HTR,30.00,26.94,26.94,HTR,
01010,UM_Apal_Jun2022,2022_6_8,68657,8,8,30,30.00,70.10,85.00,CHL,30.00,26.75,26.75,HTR,30.00,26.81,26.81,HTR,30.00,26.94,26.94,HTR,
01010,UM_Apal_Jun2022,2022_6_8,74133,8,8,30,30.00,70.10,85.00,CHL,30.00,26.75,26.75,HTR,30.00,26.87,26.87,HTR,30.00,26.94,26.94,HTR,
01010,UM_Apal_Jun2022,2022_6_8,79604,8,8,30,30.00,70.10,85.00,CHL,30.00,26.75,26.75,HTR,30.00,26.87,26.87,HTR,30.00,26.94,26.94,HTR,
01010,UM_Apal_Jun2022,2022_6_8,85075,8,8,30,30.00,70.10,85.00,CHL,30.00,26.81,26.81,HTR,30.00,26.87,26.87,HTR,30.00,26.94,26.94,HTR,
01010,UM_Apal_Jun2022,2022_6_8,90547,8,8,30,30.00,70.10,85.00,CHL,30.00,26.81,26.81,HTR,30.00,26.87,26.87,HTR,30.00,26.94,26.94,HTR,
01010,UM_Apal_Jun2022,2022_6_8,96022,8,8,30,30.00,70.10,85.00,CHL,30.00,26.87,26.87,HTR,30.00,26.94,26.94,HTR,30.00,26.94,26.94,HTR,
01010,UM_Apal_Jun2022,2022_6_8,101493,8,8,30,30.00,70.10,85.00,CHL,30.00,26.87,26.87,HTR,30.00,26.94,26.94,HTR,30.00,27.00,27.00,HTR,
01010,UM_Apal_Jun2022,2022_6_8,106966,8,8,30,30.00,70.10,85.00,CHL,30.00,26.94,26.94,HTR,30.00,26.94,26.94,HTR,30.00,27.06,27.06,HTR,
01010,UM_Apal_Jun2022,2022_6_8,112438,8,8,30,30.00,70.10,85.00,CHL,30.00,26.94,26.94,HTR,30.00,27.00,27.00,HTR,30.00,27.06,27.06,HTR,
01010,UM_Apal_Jun2022,2022_6_8,117915,8,8,30,30.00,70.10,85.00,CHL,30.00,27.00,27.00,HTR,30.00,27.00,27.00,HTR,30.00,27.12,27.12,HTR,
01010,UM_Apal_Jun2022,2022_6_8,123387,8,9,33,30.00,70.10,85.00,CHL,30.00,27.00,27.00,HTR,30.00,27.06,27.06,HTR,30.00,27.19,27.19,HTR,
01010,UM_Apal_Jun2022,2022_6_8,130939,8,9,33,30.00,70.10,85.00,CHL,30.00,27.06,27.06,HTR,30.00,27.06,27.06,HTR,30.00,27.25,27.25,HTR,
01010,UM_Apal_Jun2022,2022_6_8,136413,8,9,33,30.00,70.10,85.00,CHL,30.00,27.06,27.06,HTR,30.00,27.12,27.12,HTR,30.00,27.25,27.25,HTR,
01010,UM_Apal_Jun2022,2022_6_8,141888,8,9,33,30.00,70.10,85.00,CHL,30.00,27.12,27.12,HTR,30.00,27.19,27.19,HTR,30.00,27.31,27.31,HTR,
01010,UM_Apal_Jun2022,2022_6_8,147360,8,9,33,30.00,70.10,85.00,CHL,30.00,27.12,27.12,HTR,30.00,27.19,27.19,HTR,30.00,27.31,27.31,HTR,
01010,UM_Apal_Jun2022,2022_6_8,152834,8,9,33,30.00,70.10,85.00,CHL,30.00,27.19,27.19,HTR,30.00,27.25,27.25,HTR,30.00,27.37,27.37,HTR,
01010,UM_Apal_Jun2022,2022_6_8,158306,8,9,33,30.00,70.10,85.00,CHL,30.00,27.25,27.25,HTR,30.00,27.31,27.31,HTR,30.00,27.37,27.37,HTR,
01010,UM_Apal_Jun2022,2022_6_8,163788,8,9,33,30.00,70.10,85.00,CHL,30.00,27.25,27.25,HTR,30.00,27.31,27.31,HTR,30.00,27.44,27.44,HTR,
01010,UM_Apal_Jun2022,2022_6_8,169261,8,9,33,30.00,70.10,85.00,CHL,30.00,27.31,27.31,HTR,30.00,27.31,27.31,HTR,30.00,27.44,27.44,HTR,
01010,UM_Apal_Jun2022,2022_6_8,174733,8,9,33,30.00,70.10,85.00,CHL,30.00,27.37,27.37,HTR,30.00,27.31,27.31,HTR,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_8,180168,8,9,33,30.00,70.10,85.00,CHL,30.00,27.44,27.44,HTR,30.00,27.37,27.37,HTR,30.00,27.50,27.50,HTR,
01010,UM_Apal_Jun2022,2022_6_8,185641,8,10,35,30.00,70.10,85.00,CHL,30.00,27.44,27.44,HTR,30.00,27.44,27.44,HTR,30.00,27.56,27.56,HTR,
01010,UM_Apal_Jun2022,2022_6_8,191382,8,10,35,30.00,70.10,85.00,CHL,30.00,27.50,27.50,HTR,30.00,27.50,27.50,HTR,30.00,27.56,27.56,HTR,
01010,UM_Apal_Jun2022,2022_6_8,196855,8,10,35,30.00,70.10,85.00,CHL,30.00,27.62,27.62,HTR,30.00,27.56,27.56,HTR,30.00,27.62,27.62,HTR,
01010,UM_Apal_Jun2022,2022_6_8,202334,8,10,35,30.00,70.10,85.00,CHL,30.00,27.69,27.69,HTR,30.00,27.62,27.62,HTR,30.00,27.69,27.69,HTR,
01010,UM_Apal_Jun2022,2022_6_8,207807,8,10,35,30.00,70.10,85.00,CHL,30.00,27.75,27.75,HTR,30.00,27.62,27.62,HTR,30.00,27.69,27.69,HTR,
01010,UM_Apal_Jun2022,2022_6_8,213280,8,10,35,30.00,70.10,85.00,CHL,30.00,27.75,27.75,HTR,30.00,27.69,27.69,HTR,30.00,27.69,27.69,HTR,
01010,UM_Apal_Jun2022,2022_6_8,218755,8,10,35,30.00,70.10,85.00,CHL,30.00,27.87,27.87,HTR,30.00,27.75,27.75,HTR,30.00,27.75,27.75,HTR,
01010,UM_Apal_Jun2022,2022_6_8,224231,8,10,35,30.00,70.10,85.00,CHL,30.00,27.87,27.87,HTR,30.00,27.75,27.75,HTR,30.00,27.81,27.81,HTR,
01010,UM_Apal_Jun2022,2022_6_8,229705,8,10,35,30.00,70.10,85.00,CHL,30.00,27.94,27.94,HTR,30.00,27.81,27.81,HTR,30.00,27.81,27.81,HTR,
01010,UM_Apal_Jun2022,2022_6_8,235179,8,10,35,30.00,70.10,85.00,CHL,30.00,27.94,27.94,HTR,30.00,27.81,27.81,HTR,30.00,27.87,27.87,HTR,
01010,UM_Apal_Jun2022,2022_6_8,240652,8,10,35,30.00,70.10,85.00,CHL,30.00,28.00,28.00,HTR,30.00,27.87,27.87,HTR,30.00,27.87,27.87,HTR,
