Serial Number:20835039 --

"Date Time, GMT -0400","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","EOF"
2022-06-08 08:12:56,28.01,"7,137", , , , 
2022-06-08 08:14:14, , ,Logged, , , 
2022-06-08 08:14:15, , , ,Logged, , 
2022-06-08 08:14:25, , ,Logged, , , 
2022-06-08 08:14:26, , , ,Logged, , 
2022-06-08 08:14:36, , , , ,Logged, 
2022-06-08 08:14:56,29.56,"5,083", , , , 
2022-06-08 08:16:56,30.24,"2,761", , , , 
2022-06-08 08:18:56,30.59,"2,724", , , , 
2022-06-08 08:20:56,30.71,"4,955", , , , 
2022-06-08 08:22:56,30.84,"4,127", , , , 
2022-06-08 08:24:56,31.40,"27,249", , , , 
2022-06-08 08:26:56,31.01,"3,156", , , , 
2022-06-08 08:28:56,31.36,"18,580", , , , 
2022-06-08 08:30:56,31.61,"26,542", , , , 
2022-06-08 08:32:56,31.23,"10,002", , , , 
2022-06-08 08:34:56,31.06,"5,376", , , , 
2022-06-08 08:36:56,30.93,"3,190", , , , 
2022-06-08 08:38:56,30.80,"2,349", , , , 
2022-06-08 08:40:56,30.80,"1,736", , , , 
2022-06-08 08:42:56,30.71,"2,095", , , , 
2022-06-08 08:44:56,30.71,"1,587", , , , 
2022-06-08 08:46:56,30.67,"2,028", , , , 
2022-06-08 08:48:56,30.63,"1,846", , , , 
2022-06-08 08:50:56,30.67,"2,295", , , , 
2022-06-08 08:52:56,30.67,"3,311", , , , 
2022-06-08 08:54:56,31.92,"43,745", , , , 
2022-06-08 08:56:56,31.27,"1,115", , , , 
2022-06-08 08:58:56,30.84,86, , , , 
2022-06-08 09:00:56,30.67,93, , , , 
2022-06-08 09:02:56,30.67,84, , , , 
2022-06-08 09:04:56,30.76,526, , , , 
2022-06-08 09:06:56,30.71,598, , , , 
2022-06-08 09:08:56,30.71,"3,726", , , , 
2022-06-08 09:10:56,31.31,"20,485", , , , 
2022-06-08 09:12:56,30.76,"1,529", , , , 
2022-06-08 09:14:56,30.80,"1,459", , , , 
2022-06-08 09:16:56,30.76,"1,385", , , , 
2022-06-08 09:18:56,30.71,"1,354", , , , 
2022-06-08 09:20:56,30.67,"1,466", , , , 
2022-06-08 09:22:56,30.63,"1,399", , , , 
2022-06-08 09:24:56,30.67,"1,606", , , , 
2022-06-08 09:26:56,30.84,"1,308", , , , 
2022-06-08 09:28:56,30.80,"1,603", , , , 
2022-06-08 09:30:56,30.80,"1,428", , , , 
2022-06-08 09:32:56,30.67,"2,307", , , , 
2022-06-08 09:34:56,30.63,"1,504", , , , 
2022-06-08 09:36:56,30.76,"1,571", , , , 
2022-06-08 09:38:56,30.84,"1,468", , , , 
2022-06-08 09:40:56,30.76,"1,641", , , , 
2022-06-08 09:42:56,30.76,"1,697", , , , 
2022-06-08 09:44:56,30.76,"1,855", , , , 
2022-06-08 09:46:56,30.76,"1,730", , , , 
2022-06-08 09:48:56,30.76,"1,613", , , , 
2022-06-08 09:50:56,30.67,"1,428", , , , 
2022-06-08 09:52:56,30.67,"1,400", , , , 
2022-06-08 09:54:56,30.67,"1,420", , , , 
2022-06-08 09:56:56,30.67,"1,467", , , , 
2022-06-08 09:58:56,30.80,"1,388", , , , 
2022-06-08 10:00:56,30.76,"1,363", , , , 
2022-06-08 10:02:56,30.76,"1,489", , , , 
2022-06-08 10:04:56,30.71,"1,396", , , , 
2022-06-08 10:06:56,30.67,"1,392", , , , 
2022-06-08 10:08:56,30.67,"1,377", , , , 
2022-06-08 10:10:56,30.84,"1,405", , , , 
2022-06-08 10:12:56,30.84,"1,397", , , , 
2022-06-08 10:14:56,30.80,"1,398", , , , 
2022-06-08 10:16:56,30.76,"1,436", , , , 
2022-06-08 10:18:56,30.71,"1,386", , , , 
2022-06-08 10:20:56,30.63,"1,400", , , , 
2022-06-08 10:22:56,30.67,"1,498", , , , 
2022-06-08 10:24:56,30.76,"1,537", , , , 
2022-06-08 10:26:56,30.80,"1,710", , , , 
2022-06-08 10:28:56,30.76,"1,855", , , , 
2022-06-08 10:30:56,30.67,"1,695", , , , 
2022-06-08 10:32:56,30.63,"1,558", , , , 
2022-06-08 10:34:56,30.76,"1,720", , , , 
2022-06-08 10:36:56,30.76,"1,838", , , , 
2022-06-08 10:38:56,30.80,"1,962", , , , 
2022-06-08 10:40:56,30.76,"2,072", , , , 
2022-06-08 10:42:56,30.71,"1,964", , , , 
2022-06-08 10:44:56,30.67,"1,891", , , , 
2022-06-08 10:46:56,30.67,"1,880", , , , 
2022-06-08 10:48:56,30.76,"1,852", , , , 
2022-06-08 10:50:56,30.80,"2,315", , , , 
2022-06-08 10:52:56,30.71,"3,241", , , , 
2022-06-08 10:54:56,30.71,"2,550", , , , 
2022-06-08 10:56:56,30.67,"2,052", , , , 
2022-06-08 10:58:56,30.84,"2,303", , , , 
2022-06-08 11:00:56,30.84,"1,868", , , , 
2022-06-08 11:02:56,30.84,"2,230", , , , 
2022-06-08 11:04:56,30.71,"2,661", , , , 
2022-06-08 11:06:56,30.67,"2,078", , , , 
2022-06-08 11:08:56,30.89,"1,880", , , , 
2022-06-08 11:10:56,31.27,769, , , , 
2022-06-08 11:12:56,31.74,702, , , , 
2022-06-08 11:14:56,32.30,684, , , , 
2022-06-08 11:16:56,32.52,373, , , , 
2022-06-08 11:18:56,32.56,387, , , , 
2022-06-08 11:20:56,32.43,510, , , , 
2022-06-08 11:22:56,32.30,304, , , , 
2022-06-08 11:24:56,32.09,438, , , , 
2022-06-08 11:26:56,31.92,440, , , , 
2022-06-08 11:28:56,31.74,441, , , , 
2022-06-08 11:30:56,31.57,416, , , , 
2022-06-08 11:32:56,31.40,411, , , , 
2022-06-08 11:34:56,31.10,316, , , , 
2022-06-08 11:36:56,30.89,366, , , , 
2022-06-08 11:38:56,30.80,387, , , , 
2022-06-08 11:40:56,30.76,365, , , , 
2022-06-08 11:42:56,30.71,385, , , , 
2022-06-08 11:44:56,30.67,391, , , , 
2022-06-08 11:46:56,30.59,429, , , , 
2022-06-08 11:48:56,30.59,429, , , , 
2022-06-08 11:50:56,30.67,443, , , , 
2022-06-08 11:52:56,30.59,489, , , , 
2022-06-08 11:54:56,30.59,495, , , , 
2022-06-08 11:56:56,30.54,518, , , , 
2022-06-08 11:58:56,30.76,"8,077", , , , 
2022-06-08 12:00:56,30.89,"7,959", , , , 
2022-06-08 12:02:56,30.89,"7,977", , , , 
2022-06-08 12:04:56,30.89,"7,939", , , , 
2022-06-08 12:06:56,30.80,"7,946", , , , 
2022-06-08 12:08:56,30.71,"7,900", , , , 
2022-06-08 12:10:56,30.80,"7,951", , , , 
2022-06-08 12:12:56,30.76,"8,207", , , , 
2022-06-08 12:14:56,30.80,"7,767", , , , 
2022-06-08 12:16:56,30.71,"7,263", , , , 
2022-06-08 12:18:56,30.71,"7,478", , , , 
2022-06-08 12:20:56,30.67,"8,228", , , , 
2022-06-08 12:22:56,30.67,"7,583", , , , 
2022-06-08 12:24:56,30.71,"7,708", , , , 
2022-06-08 12:26:56,30.71,"7,951", , , , 
2022-06-08 12:28:56,30.67,"7,360", , , , 
2022-06-08 12:30:56,30.67,"7,506", , , , 
2022-06-08 12:32:56,30.71,"8,044", , , , 
2022-06-08 12:34:56,30.84,"7,419", , , , 
2022-06-08 12:36:56,30.89,"8,346", , , , 
2022-06-08 12:38:56,30.84,"8,023", , , , 
2022-06-08 12:40:56,30.80,"8,517", , , , 
2022-06-08 12:42:56,30.84,"7,946", , , , 
2022-06-08 12:44:56,30.84,"8,568", , , , 
2022-06-08 12:46:56,30.84,"8,036", , , , 
2022-06-08 12:48:56,30.80,"7,780", , , , 
2022-06-08 12:50:56,30.84,"8,169", , , , 
2022-06-08 12:52:56,30.80,"7,037", , , , 
