ShortUniqueID, PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
01010,UM_Apal_Jun2022,2000_1_1,30312,0,0,3,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2000_1_1,35127,0,0,3,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2000_1_1,39767,0,0,3,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2000_1_1,44410,0,0,3,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2000_1_1,49050,0,0,3,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2000_1_1,53689,0,0,3,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,
ShortUniqueID, PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
01010,UM_Apal_Jun2022,2022_6_15,32324,10,6,53,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,37142,10,6,53,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,41784,10,6,53,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,46432,10,6,53,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,51080,10,6,53,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,55721,10,6,53,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,30.00,70.10,-127.00,CHL,
ShortUniqueID, PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
01010,UM_Apal_Jun2022,2022_6_15,31104,10,11,57,30.00,70.10,85.00,CHL,30.00,29.94,29.94,CHL,30.00,30.19,30.19,CHL,30.00,30.44,30.44,CHL,
01010,UM_Apal_Jun2022,2022_6_15,36760,10,11,57,30.00,70.10,85.00,CHL,30.00,30.00,30.00,CHL,30.00,30.19,30.19,CHL,30.00,30.44,30.44,CHL,
01010,UM_Apal_Jun2022,2022_6_15,42234,10,11,57,30.00,70.10,85.00,CHL,30.00,30.00,30.00,HTR,30.00,30.19,30.19,CHL,30.00,30.44,30.44,CHL,
01010,UM_Apal_Jun2022,2022_6_15,47711,10,11,57,30.00,70.10,85.00,CHL,30.00,30.00,30.00,HTR,30.00,30.19,30.19,CHL,30.00,30.44,30.44,CHL,
01010,UM_Apal_Jun2022,2022_6_15,53182,10,11,57,30.00,70.10,85.00,CHL,30.00,30.00,30.00,HTR,30.00,30.25,30.25,CHL,30.00,30.44,30.44,CHL,
01010,UM_Apal_Jun2022,2022_6_15,58655,10,11,57,30.00,30.00,30.00,HTR,30.00,30.25,30.25,CHL,30.00,30.44,30.44,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,64108,10,12,59,30.00,30.00,30.00,CHL,30.00,30.25,30.25,CHL,30.00,30.44,30.44,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,70670,10,12,59,30.00,70.10,85.00,CHL,30.00,30.00,30.00,HTR,30.00,30.19,30.19,HTR,30.00,30.44,30.44,HTR,
01010,UM_Apal_Jun2022,2022_6_15,76145,10,12,59,30.00,70.10,85.00,CHL,30.00,30.00,30.00,CHL,30.00,30.25,30.25,CHL,30.00,30.44,30.44,CHL,
01010,UM_Apal_Jun2022,2022_6_15,81618,10,12,59,30.00,70.10,85.00,CHL,30.00,30.00,30.00,CHL,30.00,30.19,30.19,HTR,30.00,30.44,30.44,CHL,
01010,UM_Apal_Jun2022,2022_6_15,87094,10,12,59,30.00,70.10,85.00,CHL,30.00,30.00,30.00,CHL,30.00,30.19,30.19,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,92531,10,12,59,30.00,70.10,85.00,CHL,30.00,30.00,30.00,CHL,30.00,30.19,30.19,CHL,30.00,30.44,30.44,HTR,
01010,UM_Apal_Jun2022,2022_6_15,98004,10,12,59,30.00,70.10,85.00,CHL,30.00,30.00,30.00,CHL,30.00,30.19,30.19,CHL,30.00,30.44,30.44,CHL,
01010,UM_Apal_Jun2022,2022_6_15,103477,10,12,59,30.00,70.10,85.00,CHL,30.00,30.00,30.00,CHL,30.00,30.19,30.19,CHL,30.00,30.44,30.44,CHL,
01010,UM_Apal_Jun2022,2022_6_15,108955,10,12,59,30.00,70.10,85.00,CHL,30.00,30.00,30.00,CHL,30.00,30.19,30.19,CHL,30.00,30.44,30.44,CHL,
01010,UM_Apal_Jun2022,2022_6_15,114429,10,12,59,30.00,70.10,85.00,CHL,30.00,30.00,30.00,CHL,30.00,30.19,30.19,CHL,30.00,30.44,30.44,CHL,
01010,UM_Apal_Jun2022,2022_6_15,119904,10,12,59,30.00,70.10,85.00,CHL,30.00,30.00,30.00,CHL,30.00,30.19,30.19,CHL,30.00,30.44,30.44,CHL,
01010,UM_Apal_Jun2022,2022_6_15,125378,10,14,0,30.00,70.10,85.00,CHL,30.00,30.00,30.00,CHL,30.00,30.19,30.19,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,132757,10,14,0,30.00,70.10,85.00,CHL,30.00,30.00,30.00,CHL,30.00,30.19,30.19,CHL,30.00,30.44,30.44,HTR,
01010,UM_Apal_Jun2022,2022_6_15,138230,10,14,0,30.00,70.10,85.00,CHL,30.00,30.00,30.00,CHL,30.00,30.19,30.19,CHL,30.00,30.44,30.44,CHL,
01010,UM_Apal_Jun2022,2022_6_15,143704,10,14,0,30.00,30.06,30.06,HTR,30.00,30.06,30.06,CHL,30.00,30.25,30.25,CHL,30.00,30.44,30.44,CHL,
01010,UM_Apal_Jun2022,2022_6_15,149180,10,14,0,30.00,70.10,85.00,CHL,30.00,30.06,30.06,CHL,30.00,30.19,30.19,HTR,30.00,30.44,30.44,CHL,
01010,UM_Apal_Jun2022,2022_6_15,154662,10,14,0,30.00,30.06,30.06,HTR,30.00,30.19,30.19,CHL,30.00,30.44,30.44,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,160115,10,14,0,30.00,70.10,85.00,CHL,30.00,30.06,30.06,HTR,30.00,30.19,30.19,HTR,30.00,30.44,30.44,HTR,
01010,UM_Apal_Jun2022,2022_6_15,165592,10,14,0,30.00,70.10,85.00,CHL,30.00,30.06,30.06,CHL,30.00,30.19,30.19,CHL,30.00,30.44,30.44,CHL,
01010,UM_Apal_Jun2022,2022_6_15,171071,10,14,0,30.00,70.10,85.00,CHL,30.00,30.06,30.06,CHL,30.00,30.19,30.19,CHL,30.00,30.44,30.44,CHL,
01010,UM_Apal_Jun2022,2022_6_15,176546,10,14,0,30.00,70.10,85.00,CHL,30.00,30.00,30.00,HTR,30.00,30.19,30.19,CHL,30.00,30.44,30.44,CHL,
01010,UM_Apal_Jun2022,2022_6_15,182021,10,14,0,30.00,30.00,30.00,HTR,30.00,30.19,30.19,CHL,30.00,30.44,30.44,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,187474,10,15,3,30.00,30.06,30.06,CHL,30.00,30.19,30.19,CHL,30.00,30.44,30.44,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,195063,10,15,3,30.00,30.00,30.00,CHL,30.00,30.19,30.19,CHL,30.00,30.44,30.44,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,200513,10,15,3,30.00,30.00,30.00,CHL,30.00,30.19,30.19,CHL,30.00,30.44,30.44,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,205963,10,15,3,30.00,30.00,30.00,CHL,30.00,30.19,30.19,CHL,30.00,30.44,30.44,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,211412,10,15,3,30.00,30.00,30.00,CHL,30.00,30.19,30.19,CHL,30.00,30.44,30.44,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,216867,10,15,3,30.00,30.00,30.00,CHL,30.00,30.19,30.19,CHL,30.00,30.44,30.44,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,222316,10,15,3,30.00,30.00,30.00,CHL,30.00,30.19,30.19,CHL,30.00,30.44,30.44,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,227766,10,15,3,30.00,30.00,30.00,CHL,30.00,30.19,30.19,CHL,30.00,30.44,30.44,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,233220,10,15,3,30.00,30.00,30.00,CHL,30.00,30.19,30.19,CHL,30.00,30.44,30.44,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,238669,10,15,3,30.00,30.00,30.00,CHL,30.00,30.19,30.19,CHL,30.00,30.44,30.44,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,244119,10,15,3,30.00,30.00,30.00,CHL,30.00,30.19,30.19,CHL,30.00,30.44,30.44,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,249569,10,16,5,30.00,30.00,30.00,CHL,30.00,30.19,30.19,CHL,30.00,30.44,30.44,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,257159,10,16,5,30.00,30.00,30.00,CHL,30.00,30.19,30.19,CHL,30.00,30.44,30.44,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,262608,10,16,5,30.00,30.00,30.00,CHL,30.00,30.19,30.19,CHL,30.00,30.44,30.44,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,268058,10,16,5,30.00,30.00,30.00,CHL,30.00,30.19,30.19,CHL,30.00,30.44,30.44,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,273508,10,16,5,30.00,30.00,30.00,CHL,30.00,30.19,30.19,CHL,30.00,30.44,30.44,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,278961,10,16,5,30.00,30.00,30.00,CHL,30.00,30.19,30.19,CHL,30.00,30.44,30.44,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,284410,10,16,5,30.00,30.00,30.00,CHL,30.00,30.19,30.19,CHL,30.00,30.37,30.37,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,289860,10,16,5,30.00,30.00,30.00,CHL,30.00,30.19,30.19,CHL,30.00,30.37,30.37,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,295315,10,16,5,30.00,30.00,30.00,CHL,30.00,30.19,30.19,CHL,30.00,30.37,30.37,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,300771,10,16,5,30.00,30.00,30.00,CHL,30.00,30.19,30.19,CHL,30.00,30.37,30.37,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,306221,10,16,5,30.00,30.00,30.00,CHL,30.00,30.12,30.12,HTR,30.00,30.37,30.37,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,311669,10,17,7,30.00,30.00,30.00,CHL,30.00,30.12,30.12,CHL,30.00,30.37,30.37,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,319257,10,17,7,30.00,30.00,30.00,CHL,30.00,30.12,30.12,CHL,30.00,30.37,30.37,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,324707,10,17,7,30.00,30.00,30.00,CHL,30.00,30.12,30.12,CHL,30.00,30.37,30.37,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,330157,10,17,7,30.00,30.00,30.00,CHL,30.00,30.12,30.12,CHL,30.00,30.37,30.37,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,335663,10,17,7,30.00,30.00,30.00,CHL,30.00,30.12,30.12,CHL,30.00,30.12,30.12,HTR,30.00,30.37,30.37,HTR,
01010,UM_Apal_Jun2022,2022_6_15,341140,10,17,7,30.00,30.00,30.00,CHL,30.00,30.12,30.12,CHL,30.00,30.37,30.37,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,346591,10,17,7,30.00,30.00,30.00,CHL,30.00,30.12,30.12,CHL,30.00,30.37,30.37,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,352039,10,17,7,30.00,30.00,30.00,CHL,30.00,30.12,30.12,CHL,30.00,30.37,30.37,CHL,30.00,70.10,-127.00,CHL,
01010,UM_Apal_Jun2022,2022_6_15,357489,10,17,7,30.00,29.94,29.94,CHL,30.00,30.12,30.12,CHL,30.00,30.37,30.37,CHL,30.00,70.10,-127.00,CHL,
