Serial Number:20850766 --

"Date Time, GMT -0400","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","EOF"
2022-06-13 11:00:11,34.32,"6,129", , , , 
2022-06-13 11:02:11,36.33,"11,254", , , , 
2022-06-13 11:04:11,37.02,"7,903", , , , 
2022-06-13 11:06:11,37.28,"6,623", , , , 
2022-06-13 11:08:11,36.72,383, , , , 
2022-06-13 11:10:11,36.59,274, , , , 
2022-06-13 11:12:11,36.59,352, , , , 
2022-06-13 11:14:11,36.51,361, , , , 
2022-06-13 11:16:11,36.46,263, , , , 
2022-06-13 11:18:11,36.46,303, , , , 
2022-06-13 11:20:11,36.33,213, , , , 
2022-06-13 11:22:11,36.38,281, , , , 
2022-06-13 11:24:11,36.25,269, , , , 
2022-06-13 11:26:11,36.29,279, , , , 
2022-06-13 11:28:11,36.21,252, , , , 
2022-06-13 11:30:11,36.12,246, , , , 
2022-06-13 11:32:11,36.16,250, , , , 
2022-06-13 11:34:11,36.08,248, , , , 
2022-06-13 11:36:11,36.03,229, , , , 
2022-06-13 11:38:11,36.03,243, , , , 
2022-06-13 11:40:11,35.95,241, , , , 
2022-06-13 11:42:11,35.90,249, , , , 
2022-06-13 11:44:11,35.90,256, , , , 
2022-06-13 11:46:11,35.86,264, , , , 
2022-06-13 11:48:11,35.82,280, , , , 
2022-06-13 11:50:11,35.82,233, , , , 
2022-06-13 11:52:11,35.78,271, , , , 
2022-06-13 11:54:11,35.78,269, , , , 
2022-06-13 11:56:11,35.73,284, , , , 
2022-06-13 11:58:11,35.73,283, , , , 
2022-06-13 12:00:11,35.69,285, , , , 
2022-06-13 12:02:11,35.69,259, , , , 
2022-06-13 12:04:11,35.65,251, , , , 
2022-06-13 12:06:11,35.60,250, , , , 
2022-06-13 12:08:11,35.60,257, , , , 
2022-06-13 12:10:11,35.56,253, , , , 
2022-06-13 12:12:11,35.52,254, , , , 
2022-06-13 12:14:11,35.43,250, , , , 
2022-06-13 12:16:11,35.43,261, , , , 
2022-06-13 12:18:11,35.39,265, , , , 
2022-06-13 12:20:11,35.43,263, , , , 
2022-06-13 12:22:11,35.39,257, , , , 
2022-06-13 12:24:11,35.35,263, , , , 
2022-06-13 12:26:11,35.30,232, , , , 
2022-06-13 12:28:11,35.30,255, , , , 
2022-06-13 12:30:11,35.26,270, , , , 
2022-06-13 12:32:11,35.26,244, , , , 
2022-06-13 12:34:11,35.26,264, , , , 
2022-06-13 12:36:11,35.26,251, , , , 
2022-06-13 12:38:11,35.13,256, , , , 
2022-06-13 12:40:11,35.13,229, , , , 
