Serial Number:20835039 --

"Date Time, GMT -0400","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","EOF"
2022-06-13 11:05:29,33.59,"1,523", , , , 
2022-06-13 11:07:29,35.69,330, , , , 
2022-06-13 11:09:29,36.03,277, , , , 
2022-06-13 11:11:29,36.25,243, , , , 
2022-06-13 11:13:29,36.29,306, , , , 
2022-06-13 11:15:29,36.25,324, , , , 
2022-06-13 11:17:29,36.25,322, , , , 
2022-06-13 11:19:29,36.25,320, , , , 
2022-06-13 11:21:29,36.25,286, , , , 
2022-06-13 11:23:29,36.16,242, , , , 
2022-06-13 11:25:29,36.08,260, , , , 
2022-06-13 11:27:29,36.03,272, , , , 
2022-06-13 11:29:29,35.99,268, , , , 
2022-06-13 11:31:29,35.95,272, , , , 
2022-06-13 11:33:29,35.95,223, , , , 
2022-06-13 11:35:29,35.86,272, , , , 
2022-06-13 11:37:29,35.86,272, , , , 
2022-06-13 11:39:29,35.78,282, , , , 
2022-06-13 11:41:29,35.78,268, , , , 
2022-06-13 11:43:29,35.69,291, , , , 
2022-06-13 11:45:29,35.69,285, , , , 
2022-06-13 11:47:29,35.69,291, , , , 
2022-06-13 11:49:29,35.65,291, , , , 
2022-06-13 11:51:29,35.60,284, , , , 
2022-06-13 11:53:29,35.65,297, , , , 
2022-06-13 11:55:29,35.60,295, , , , 
2022-06-13 11:57:29,35.52,286, , , , 
2022-06-13 11:59:29,35.52,282, , , , 
2022-06-13 12:01:29,35.48,291, , , , 
2022-06-13 12:03:29,35.43,287, , , , 
2022-06-13 12:05:29,35.43,286, , , , 
2022-06-13 12:07:29,35.39,285, , , , 
2022-06-13 12:09:29,35.39,285, , , , 
2022-06-13 12:11:29,35.30,292, , , , 
2022-06-13 12:13:29,35.30,299, , , , 
2022-06-13 12:15:29,35.30,303, , , , 
2022-06-13 12:17:29,35.26,272, , , , 
2022-06-13 12:19:29,35.22,297, , , , 
2022-06-13 12:21:29,35.26,296, , , , 
2022-06-13 12:23:29,35.22,298, , , , 
2022-06-13 12:25:29,35.22,299, , , , 
2022-06-13 12:27:29,35.18,298, , , , 
2022-06-13 12:29:29,35.13,288, , , , 
2022-06-13 12:31:29,35.13,296, , , , 
2022-06-13 12:33:29,35.13,293, , , , 
2022-06-13 12:35:29,35.00,282, , , , 
2022-06-13 12:37:29,35.00,291, , , , 
2022-06-13 12:39:29,34.96,254, , , , 
2022-06-13 12:41:29,34.88,291, , , , 
2022-06-13 12:43:29,34.83,230, , , , 
2022-06-13 12:45:29,34.83,256, , , , 
2022-06-13 12:47:29,34.79,236, , , , 
2022-06-13 12:49:29,34.79,240, , , , 
2022-06-13 12:51:29,34.83,223, , , , 
2022-06-13 12:53:29,34.79,224, , , , 
2022-06-13 12:55:29,34.79,219, , , , 
2022-06-13 12:57:29,34.66,200, , , , 
2022-06-13 12:59:29,34.66,197, , , , 
2022-06-13 13:01:29,34.66,216, , , , 
2022-06-13 13:03:29,34.62,201, , , , 
2022-06-13 13:05:29,34.62,156, , , , 
2022-06-13 13:07:29,34.57,222, , , , 
2022-06-13 13:09:29,34.45,213, , , , 
2022-06-13 13:11:29,34.45,214, , , , 
2022-06-13 13:13:29,34.40,208, , , , 
2022-06-13 13:15:29,34.32,164, , , , 
2022-06-13 13:17:29,34.32,195, , , , 
2022-06-13 13:19:29,34.32,184, , , , 
2022-06-13 13:21:29,34.27,245, , , , 
2022-06-13 13:23:29,34.27,269, , , , 
2022-06-13 13:25:29,34.19,261, , , , 
2022-06-13 13:27:29,34.23,261, , , , 
2022-06-13 13:29:29,34.19,268, , , , 
2022-06-13 13:31:29,34.15,265, , , , 
2022-06-13 13:33:29,34.06,258, , , , 
2022-06-13 13:35:29,34.10,250, , , , 
2022-06-13 13:37:29,34.10,254, , , , 
2022-06-13 13:39:29,34.06,257, , , , 
2022-06-13 13:41:29,34.06,267, , , , 
2022-06-13 13:43:29,34.06,267, , , , 
2022-06-13 13:45:29,34.02,240, , , , 
2022-06-13 13:47:29,34.02,217, , , , 
