Serial Number:20883462 --

"Date Time, GMT -0400","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","EOF"
2022-06-08 08:03:54,29.21,"3,803", , , , 
2022-06-08 08:04:14, , ,Logged,Logged, , 
2022-06-08 08:04:43, , , , ,Logged, 
2022-06-08 08:05:54,28.53,"1,592", , , , 
2022-06-08 08:07:54,27.84,"2,292", , , , 
2022-06-08 08:09:54,27.75,"2,579", , , , 
2022-06-08 08:11:54,28.27,"3,880", , , , 
2022-06-08 08:13:54,28.95,"3,866", , , , 
2022-06-08 08:13:58, , ,Logged, , , 
2022-06-08 08:13:59, , , ,Logged, , 
2022-06-08 08:15:54,30.16,"11,689", , , , 
2022-06-08 08:17:54,30.93,"12,529", , , , 
2022-06-08 08:19:54,31.31,"16,338", , , , 
2022-06-08 08:21:54,31.40,"22,262", , , , 
2022-06-08 08:23:54,31.40,"12,160", , , , 
2022-06-08 08:25:54,31.53,"15,903", , , , 
2022-06-08 08:27:54,31.92,"21,709", , , , 
2022-06-08 08:29:54,31.79,"23,265", , , , 
2022-06-08 08:31:54,31.87,"22,467", , , , 
2022-06-08 08:33:54,32.22,"31,263", , , , 
2022-06-08 08:35:54,32.30,"27,904", , , , 
2022-06-08 08:37:54,32.43,"4,891", , , , 
2022-06-08 08:39:54,32.43,"33,423", , , , 
2022-06-08 08:41:54,32.26,"19,881", , , , 
2022-06-08 08:43:54,32.43,"33,464", , , , 
2022-06-08 08:45:54,32.47,"28,518", , , , 
2022-06-08 08:47:54,31.79,"5,591", , , , 
2022-06-08 08:49:54,32.30,"28,211", , , , 
2022-06-08 08:51:54,32.56,"30,812", , , , 
2022-06-08 08:53:54,32.56,"35,379", , , , 
2022-06-08 08:55:54,31.79,"30,167", , , , 
2022-06-08 08:57:54,30.97,967, , , , 
2022-06-08 08:59:54,30.80,"1,163", , , , 
2022-06-08 09:01:54,30.71,"1,116", , , , 
2022-06-08 09:03:54,30.71,919, , , , 
2022-06-08 09:05:54,30.63,890, , , , 
2022-06-08 09:07:54,30.67,"1,302", , , , 
2022-06-08 09:09:54,31.40,"32,492", , , , 
2022-06-08 09:11:54,32.09,"32,840", , , , 
2022-06-08 09:13:54,32.34,"24,453", , , , 
2022-06-08 09:15:54,31.14,"6,377", , , , 
2022-06-08 09:17:54,30.84,"2,051", , , , 
2022-06-08 09:19:54,30.80,"2,252", , , , 
2022-06-08 09:21:54,30.84,"4,680", , , , 
2022-06-08 09:23:54,30.80,"4,929", , , , 
2022-06-08 09:25:54,30.93,"2,239", , , , 
2022-06-08 09:27:54,30.80,"2,157", , , , 
2022-06-08 09:29:54,30.80,"3,057", , , , 
2022-06-08 09:31:54,31.01,"2,819", , , , 
2022-06-08 09:33:54,31.36,"3,153", , , , 
2022-06-08 09:35:54,30.84,"2,710", , , , 
2022-06-08 09:37:54,30.71,"2,684", , , , 
2022-06-08 09:39:54,30.84,"3,261", , , , 
2022-06-08 09:41:54,30.84,"3,200", , , , 
2022-06-08 09:43:54,30.80,"3,255", , , , 
2022-06-08 09:45:54,31.06,"3,535", , , , 
2022-06-08 09:47:54,30.76,"3,076", , , , 
2022-06-08 09:49:54,30.80,"2,470", , , , 
2022-06-08 09:51:54,30.76,"2,307", , , , 
2022-06-08 09:53:54,30.67,"2,305", , , , 
2022-06-08 09:55:54,30.71,"2,324", , , , 
2022-06-08 09:57:54,30.76,"2,354", , , , 
2022-06-08 09:59:54,30.67,"2,192", , , , 
2022-06-08 10:01:54,30.71,"2,269", , , , 
2022-06-08 10:03:54,30.76,"2,380", , , , 
2022-06-08 10:05:54,30.71,"2,228", , , , 
2022-06-08 10:07:54,30.67,"2,122", , , , 
2022-06-08 10:09:54,30.71,"2,292", , , , 
2022-06-08 10:11:54,30.76,"2,326", , , , 
2022-06-08 10:13:54,30.71,"2,282", , , , 
2022-06-08 10:15:54,30.67,"2,289", , , , 
2022-06-08 10:17:54,30.76,"2,461", , , , 
2022-06-08 10:19:54,30.76,"2,241", , , , 
2022-06-08 10:21:54,30.80,"2,420", , , , 
2022-06-08 10:23:54,30.71,"2,561", , , , 
2022-06-08 10:25:54,30.63,"2,811", , , , 
2022-06-08 10:27:54,30.76,"2,993", , , , 
2022-06-08 10:29:54,30.76,"2,985", , , , 
2022-06-08 10:31:54,30.67,"2,804", , , , 
2022-06-08 10:33:54,30.67,"2,675", , , , 
2022-06-08 10:35:54,30.76,"3,156", , , , 
2022-06-08 10:37:54,30.80,"2,982", , , , 
2022-06-08 10:39:54,30.67,"2,956", , , , 
2022-06-08 10:41:54,30.80,"3,086", , , , 
2022-06-08 10:43:54,30.80,"2,973", , , , 
2022-06-08 10:45:54,30.71,"2,726", , , , 
2022-06-08 10:47:54,30.71,"3,085", , , , 
2022-06-08 10:49:54,30.76,"3,081", , , , 
2022-06-08 10:51:54,30.63,"1,898", , , , 
2022-06-08 10:53:54,30.71,"2,602", , , , 
2022-06-08 10:55:54,30.71,980, , , , 
2022-06-08 10:57:54,30.67,"3,919", , , , 
2022-06-08 10:59:54,30.76,"3,651", , , , 
2022-06-08 11:01:54,30.67,"2,961", , , , 
2022-06-08 11:03:54,30.63,"1,566", , , , 
2022-06-08 11:05:54,30.67,"2,373", , , , 
2022-06-08 11:07:54,30.59,"2,523", , , , 
2022-06-08 11:09:54,30.67,"2,338", , , , 
2022-06-08 11:11:54,30.67,"1,033", , , , 
2022-06-08 11:13:54,30.63,947, , , , 
2022-06-08 11:15:54,30.67,"2,092", , , , 
2022-06-08 11:17:54,30.97,"1,687", , , , 
2022-06-08 11:19:54,31.23,"1,862", , , , 
2022-06-08 11:21:54,31.23,"2,179", , , , 
2022-06-08 11:23:54,31.23,"2,321", , , , 
2022-06-08 11:25:54,31.06,"1,820", , , , 
2022-06-08 11:27:54,30.93,"1,513", , , , 
