Serial Number:20850766 --

"Date Time, GMT -0400","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","Stopped","EOF"
2022-06-08 08:07:54,27.24,"1,341", , , , , 
2022-06-08 08:09:54,27.24,"1,419", , , , , 
2022-06-08 08:11:54,27.20,"1,412", , , , , 
2022-06-08 08:13:54,27.20,"1,180", , , , , 
2022-06-08 08:15:03, , ,Logged, , , , 
2022-06-08 08:15:04, , , ,Logged, , , 
2022-06-08 08:15:08, , , , ,Logged, , 
2022-06-08 08:15:54,27.20,"1,147", , , , , 
2022-06-08 08:17:54,27.15,"1,164", , , , , 
2022-06-08 08:19:54,27.11,"1,161", , , , , 
2022-06-08 08:21:54,27.07,"1,026", , , , , 
2022-06-08 08:23:54,27.02,924, , , , , 
2022-06-08 08:25:54,27.02,"1,055", , , , , 
2022-06-08 08:27:54,26.98,"1,010", , , , , 
2022-06-08 08:29:54,26.98,886, , , , , 
2022-06-08 08:31:54,27.02,986, , , , , 
2022-06-08 08:33:54,27.02,"1,048", , , , , 
2022-06-08 08:35:54,26.94,933, , , , , 
2022-06-08 08:37:54,26.94,"1,068", , , , , 
2022-06-08 08:39:54,26.98,"1,076", , , , , 
2022-06-08 08:41:54,26.94,"1,167", , , , , 
2022-06-08 08:43:54,27.24,"1,123", , , , , 
2022-06-08 08:45:54,27.67,"1,176", , , , , 
2022-06-08 08:47:54,28.35,"1,113", , , , , 
2022-06-08 08:49:54,29.04,"1,111", , , , , 
2022-06-08 08:51:54,29.73,"1,216", , , , , 
2022-06-08 08:53:54,30.24,"1,028", , , , , 
2022-06-08 08:55:54,30.41,"1,046", , , , , 
2022-06-08 08:57:54,30.54,"1,610", , , , , 
2022-06-08 08:59:54,30.80,"8,660", , , , , 
2022-06-08 09:01:54,30.84,"7,680", , , , , 
2022-06-08 09:03:54,30.84,"3,067", , , , , 
2022-06-08 09:05:54,30.76,"1,676", , , , , 
2022-06-08 09:07:54,30.97,970, , , , , 
2022-06-08 09:09:54,31.40,"1,114", , , , , 
2022-06-08 09:11:54,31.83,"1,243", , , , , 
2022-06-08 09:13:54,31.83,"1,347", , , , , 
2022-06-08 09:15:54,31.70,"1,515", , , , , 
2022-06-08 09:17:54,31.49,"1,854", , , , , 
2022-06-08 09:19:54,31.31,"1,452", , , , , 
2022-06-08 09:21:54,31.01,"1,380", , , , , 
2022-06-08 09:23:54,30.93,"1,369", , , , , 
2022-06-08 09:25:54,30.80,"1,538", , , , , 
2022-06-08 09:27:54,30.67,"1,255", , , , , 
2022-06-08 09:29:54,30.59,"1,251", , , , , 
2022-06-08 09:31:54,30.67,"1,282", , , , , 
2022-06-08 09:33:54,30.67,879, , , , , 
2022-06-08 09:35:54,30.59,"1,141", , , , , 
2022-06-08 09:37:54,30.63,"1,300", , , , , 
2022-06-08 09:39:54,30.63,"1,363", , , , , 
2022-06-08 09:41:54,30.54,"1,556", , , , , 
2022-06-08 09:43:54,30.54,"1,315", , , , , 
2022-06-08 09:45:54,30.54,"1,168", , , , , 
2022-06-08 09:47:54,30.59,"1,551", , , , , 
2022-06-08 09:49:54,30.63,"1,544", , , , , 
2022-06-08 09:51:54,30.59,"2,119", , , , , 
2022-06-08 09:53:54,30.54,"1,949", , , , , 
2022-06-08 09:55:54,30.54,"1,928", , , , , 
2022-06-08 09:57:54,30.63,"1,930", , , , , 
2022-06-08 09:59:54,30.59,"2,142", , , , , 
2022-06-08 10:01:54,30.50,"1,958", , , , , 
2022-06-08 10:03:54,30.54,"1,855", , , , , 
2022-06-08 10:05:54,30.54,"1,951", , , , , 
2022-06-08 10:07:54,30.54,"2,055", , , , , 
2022-06-08 10:09:54,30.54,"1,849", , , , , 
2022-06-08 10:11:54,30.50,"1,800", , , , , 
2022-06-08 10:13:54,30.59,"1,777", , , , , 
2022-06-08 10:15:54,30.59,"1,757", , , , , 
2022-06-08 10:17:54,30.54,"1,642", , , , , 
2022-06-08 10:19:54,30.59,"1,656", , , , , 
2022-06-08 10:21:54,30.59,"1,581", , , , , 
2022-06-08 10:23:54,30.54,"1,484", , , , , 
2022-06-08 10:25:54,30.54,"1,450", , , , , 
2022-06-08 10:27:54,30.50,"1,457", , , , , 
2022-06-08 10:29:54,30.54,"1,265", , , , , 
2022-06-08 10:31:54,30.54,"1,292", , , , , 
2022-06-08 10:33:54,30.46,"1,470", , , , , 
