Serial Number:20850768 --

"Date Time, GMT -0400","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","EOF"
2022-06-13 11:03:59,33.72,"1,180", , , , 
2022-06-13 11:05:59,35.82,"2,461", , , , 
2022-06-13 11:07:59,36.16,361, , , , 
2022-06-13 11:09:59,36.33,266, , , , 
2022-06-13 11:11:59,36.46,337, , , , 
2022-06-13 11:13:59,36.46,331, , , , 
2022-06-13 11:15:59,36.42,263, , , , 
2022-06-13 11:17:59,36.42,293, , , , 
2022-06-13 11:19:59,36.38,214, , , , 
2022-06-13 11:21:59,36.33,251, , , , 
2022-06-13 11:23:59,36.21,263, , , , 
2022-06-13 11:25:59,36.16,259, , , , 
2022-06-13 11:27:59,36.12,250, , , , 
2022-06-13 11:29:59,36.08,253, , , , 
2022-06-13 11:31:59,36.08,257, , , , 
2022-06-13 11:33:59,36.03,250, , , , 
2022-06-13 11:35:59,35.99,267, , , , 
2022-06-13 11:37:59,35.99,258, , , , 
2022-06-13 11:39:59,35.90,268, , , , 
2022-06-13 11:41:59,35.99,271, , , , 
2022-06-13 11:43:59,35.90,282, , , , 
2022-06-13 11:45:59,35.86,275, , , , 
2022-06-13 11:47:59,35.82,273, , , , 
2022-06-13 11:49:59,35.78,264, , , , 
2022-06-13 11:51:59,35.78,276, , , , 
2022-06-13 11:53:59,35.73,295, , , , 
2022-06-13 11:55:59,35.82,278, , , , 
2022-06-13 11:57:59,35.73,274, , , , 
2022-06-13 11:59:59,35.73,272, , , , 
2022-06-13 12:01:59,35.65,274, , , , 
2022-06-13 12:03:59,35.60,295, , , , 
2022-06-13 12:05:59,35.60,300, , , , 
2022-06-13 12:07:59,35.60,308, , , , 
2022-06-13 12:09:59,35.56,287, , , , 
2022-06-13 12:11:59,35.52,318, , , , 
2022-06-13 12:13:59,35.52,318, , , , 
2022-06-13 12:15:59,35.48,321, , , , 
2022-06-13 12:17:59,35.48,313, , , , 
2022-06-13 12:19:59,35.48,321, , , , 
2022-06-13 12:21:59,35.48,320, , , , 
2022-06-13 12:23:59,35.39,301, , , , 
2022-06-13 12:25:59,35.39,303, , , , 
2022-06-13 12:27:59,35.35,301, , , , 
2022-06-13 12:29:59,35.39,288, , , , 
2022-06-13 12:31:59,35.30,277, , , , 
2022-06-13 12:33:59,35.30,307, , , , 
2022-06-13 12:35:59,35.26,256, , , , 
2022-06-13 12:37:59,35.18,281, , , , 
2022-06-13 12:39:59,35.18,275, , , , 
2022-06-13 12:41:59,35.09,283, , , , 
