Serial Number:20834982 --

"Date Time, GMT -0400","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","EOF"
2022-06-13 21:53:15,29.21,30, , , , 
2022-06-13 21:55:15,28.27,44, , , , 
2022-06-13 21:57:15,28.18,5, , , , 
2022-06-13 21:59:15,27.88,5, , , , 
2022-06-13 22:01:15,27.75,4, , , , 
2022-06-13 22:03:15,27.67,5, , , , 
2022-06-13 22:05:15,27.71,5, , , , 
2022-06-13 22:07:15,27.67,5, , , , 
2022-06-13 22:09:15,27.71,5, , , , 
2022-06-13 22:11:15,27.75,5, , , , 
2022-06-13 22:13:15,27.75,0, , , , 
2022-06-13 22:15:15,27.84,0, , , , 
2022-06-13 22:17:15,27.88,0, , , , 
2022-06-13 22:19:15,27.97,0, , , , 
2022-06-13 22:21:15,27.97,0, , , , 
2022-06-13 22:23:15,27.97,0, , , , 
2022-06-13 22:25:15,27.97,0, , , , 
2022-06-13 22:27:15,27.93,0, , , , 
2022-06-13 22:29:15,27.97,0, , , , 
2022-06-13 22:31:15,28.01,0, , , , 
2022-06-13 22:33:15,28.01,0, , , , 
2022-06-13 22:35:15,28.01,0, , , , 
2022-06-13 22:37:15,28.01,0, , , , 
2022-06-13 22:39:15,28.01,0, , , , 
2022-06-13 22:41:15,28.01,0, , , , 
2022-06-13 22:43:15,28.01,0, , , , 
2022-06-13 22:45:15,28.01,0, , , , 
2022-06-13 22:47:15,28.01,0, , , , 
2022-06-13 22:49:15,28.01,0, , , , 
2022-06-13 22:51:15,28.01,0, , , , 
2022-06-13 22:53:15,28.05,0, , , , 
2022-06-13 22:55:15,28.05,0, , , , 
2022-06-13 22:57:15,28.01,0, , , , 
2022-06-13 22:59:15,28.01,0, , , , 
2022-06-13 23:01:15,28.01,0, , , , 
2022-06-13 23:03:15,28.01,0, , , , 
2022-06-13 23:05:15,28.05,0, , , , 
2022-06-13 23:07:15,28.01,0, , , , 
2022-06-13 23:09:15,28.05,0, , , , 
2022-06-13 23:11:15,28.05,0, , , , 
2022-06-13 23:13:15,27.97,0, , , , 
2022-06-13 23:15:15,28.01,0, , , , 
2022-06-13 23:17:15,28.05,0, , , , 
2022-06-13 23:19:15,28.05,0, , , , 
2022-06-13 23:21:15,28.01,0, , , , 
2022-06-13 23:23:15,28.05,0, , , , 
2022-06-13 23:25:15,28.05,0, , , , 
2022-06-13 23:27:15,28.05,0, , , , 
2022-06-13 23:29:15,28.01,0, , , , 
2022-06-13 23:31:15,28.01,0, , , , 
2022-06-13 23:33:15,28.01,0, , , , 
2022-06-13 23:35:15,28.01,0, , , , 
2022-06-13 23:37:15,28.01,0, , , , 
2022-06-13 23:39:15,27.97,0, , , , 
2022-06-13 23:41:15,28.01,0, , , , 
2022-06-13 23:43:15,27.97,0, , , , 
2022-06-13 23:45:15,28.01,0, , , , 
2022-06-13 23:47:15,28.01,0, , , , 
2022-06-13 23:49:15,28.01,0, , , , 
2022-06-13 23:51:15,28.01,0, , , , 
2022-06-13 23:53:15,27.97,0, , , , 
2022-06-13 23:55:15,28.01,0, , , , 
2022-06-13 23:57:15,28.01,0, , , , 
2022-06-13 23:59:15,27.97,0, , , , 
2022-06-14 00:01:15,27.93,0, , , , 
2022-06-14 00:03:15,28.01,0, , , , 
2022-06-14 00:05:15,27.97,0, , , , 
2022-06-14 00:07:15,27.93,0, , , , 
2022-06-14 00:09:15,27.97,0, , , , 
2022-06-14 00:11:15,27.93,0, , , , 
2022-06-14 00:13:15,27.97,0, , , , 
2022-06-14 00:15:15,27.93,0, , , , 
2022-06-14 00:17:15,27.97,0, , , , 
2022-06-14 00:19:15,27.93,0, , , , 
2022-06-14 00:21:15,27.93,0, , , , 
2022-06-14 00:23:15,27.88,0, , , , 
2022-06-14 00:25:15,27.93,0, , , , 
2022-06-14 00:27:15,27.93,0, , , , 
2022-06-14 00:29:15,27.88,0, , , , 
2022-06-14 00:31:15,27.93,0, , , , 
2022-06-14 00:33:15,27.93,0, , , , 
2022-06-14 00:35:15,27.93,0, , , , 
2022-06-14 00:37:15,27.97,0, , , , 
2022-06-14 00:39:15,27.93,0, , , , 
2022-06-14 00:41:15,27.97,0, , , , 
2022-06-14 00:43:15,28.01,0, , , , 
2022-06-14 00:45:15,27.97,0, , , , 
2022-06-14 00:47:15,28.01,0, , , , 
2022-06-14 00:49:15,27.97,0, , , , 
2022-06-14 00:51:15,27.93,0, , , , 
2022-06-14 00:53:15,27.97,0, , , , 
2022-06-14 00:55:15,27.93,0, , , , 
