originalOrder,Genet,Lat,Lon,Pathfinder v5,CoralTemp v3.1,properSort
CBASS_002,CN2,24.9598,-80.4561,29.96,23.73,CBASS_002
CBASS_6, Blue,25.3526,-80.1784,29.92,23.92,CBASS_006
CBASS_007, Green,25.3523,-80.1786,29.92,23.92,CBASS_007
CBASS_010,CF7,25.2242,-80.2107,29.9,23.93,CBASS_010
CBASS_011,HS1,25.1399,-80.2946,30.1,23.93,CBASS_011
CBASS_012,Apal-21,24.5461,-81.4057,30.3,23.57,CBASS_012
CBASS_013,Apal-25,24.5452,-81.4089,30.3,23.57,CBASS_013
CBASS_014,Apal-26,24.5471,-81.4079,30.3,23.57,CBASS_014
CBASS_015,Apal-174,24.6258,-81.1117,30.26,23.53,CBASS_015
CBASS_016,Apal-50,25.01,-80.3739,30.03,23.85,CBASS_016
CBASS_017,Apal-175,24.6258,-81.1119,30.26,23.53,CBASS_017
CBASS_018,Apal-171,24.6259,-81.1114,30.26,23.53,CBASS_018
CBASS_019,Apal-178,24.6262,-81.1103,30.26,23.53,CBASS_019
CBASS_020,Apal-140,24.9611,-80.4557,29.96,23.73,CBASS_020
CBASS_021,Apal-153,25.0091,-80.3763,30.03,23.85,CBASS_021
CBASS_022,Apal-71,24.9606,-80.4569,29.96,23.73,CBASS_022
CBASS_023,Apal-165,25.143,-80.2583,29.98,23.93,CBASS_023
CBASS_024,Apal-11,24.6266,-81.1093,30.26,23.53,CBASS_024
CBASS_025,Apal-16,25.0098,-80.3743,30.03,23.85,CBASS_025
CBASS_026,Apal-162,25.1431,-80.2581,29.98,23.93,CBASS_026
CBASS_027,Apal-160,25.1425,-80.2584,29.98,23.93,CBASS_027
CBASS_028,Apal-155,24.9855,-80.4167,30,23.83,CBASS_028
CBASS_29,Apal-163,25.1431,-80.2582,29.98,23.93,CBASS_029
CBASS_30,Apal-28,24.5159,-81.9248,30.43,23.18,CBASS_030
CBASS_31,Apal-172,24.6259,-81.1115,30.26,23.53,CBASS_031
CBASS_32,Apal-159,24.545,-81.4092,30.3,23.57,CBASS_032
CBASS_33,Apal-164,25.1429,-80.2584,29.98,23.93,CBASS_033
CBASS_34,Apal-154,25.0098,-80.3749,30.03,23.85,CBASS_034
CBASS_35,Apal-150,24.5451,-81.4096,30.3,23.57,CBASS_035
CBASS_36,PK2,24.9849,-80.4187,30,23.83,CBASS_036
CBASS_37,18,24.4531,-81.8756,30.16,23.38,CBASS_037
CBASS_40,CF4,25.2101,-80.2185,29.9,23.93,CBASS_040
CBASS_41,GR2,25.1082,-80.3071,30.03,23.82,CBASS_041
CBASS_42,AAA2,25.1641,-80.2773,29.98,23.88,CBASS_042
CBASS_47, Phil,25.0158,-80.4052,30.03,23.75,CBASS_047
CBASS_48,TR1,25.2838,-80.2073,29.97,23.9,CBASS_048
CBASS_52,CF7,25.2242,-80.2107,29.9,23.93,CBASS_052
CBASS_53,26,24.5471,-81.4079,30.3,23.57,CBASS_053
CBASS_54,CN1,24.9602,-80.4569,29.96,23.73,CBASS_054
CBASS_55,21,24.5461,-81.4057,30.3,23.57,CBASS_055
CBASS_56,155,24.9855,-80.4167,30,23.83,CBASS_056
CBASS_57,165,25.143,-80.2583,29.98,23.93,CBASS_057
CBASS_58,ELN1,25.1547,-80.2678,29.98,23.88,CBASS_058
CBASS_59,154,25.0098,-80.3749,30.03,23.85,CBASS_059
CBASS_60,CN2,24.961,-80.4562,29.96,23.73,CBASS_060
CBASS_61,16,25.0098,-80.3743,30.03,23.85,CBASS_061
CBASS_62,PK10,24.9851,-80.4171,30,23.83,CBASS_062
CBASS_63,175,24.6258,-81.1119,30.26,23.53,CBASS_063
CBASS_64,28,24.5159,-81.9248,30.43,23.18,CBASS_064
CBASS_65,159,24.545,-81.4092,30.3,23.57,CBASS_065
CBASS_66,150,24.5451,-81.4096,30.3,23.57,CBASS_066
CBASS_67,153,25.0091,-80.3763,30.03,23.85,CBASS_067
CBASS_69,25,24.5452,-81.4089,30.3,23.57,CBASS_069
CBASS_70,160,25.1425,-80.2584,29.98,23.93,CBASS_070
CBASS_71,140,24.9611,-80.4557,29.96,23.73,CBASS_071
CBASS_72,164,25.1429,-80.2584,29.98,23.93,CBASS_072
CBASS_73,163,25.1431,-80.2582,29.98,23.93,CBASS_073
CBASS_74,162,25.1431,-80.2581,29.98,23.93,CBASS_074
CBASS_75,172,24.6259,-81.1115,30.26,23.53,CBASS_075
CBASS_76,HS1,25.1399,-80.2946,30.1,23.93,CBASS_076
CBASS_78,178,24.6262,-81.1103,30.26,23.53,CBASS_078
CBASS_79,171,24.6259,-81.1114,30.26,23.53,CBASS_079
CBASS_83,174,24.6258,-81.1117,30.26,23.53,CBASS_083
CBASS_85,73,25.1459,-80.2557,29.98,23.93,CBASS_085
CBASS_86,69,25.0095,-80.3754,30.03,23.85,CBASS_086
CBASS_87,67,24.9853,-80.4163,30,23.83,CBASS_087
CBASS_88,2,25.1554,-80.2867,29.98,23.88,CBASS_088
CBASS_89,6,25.2204,-80.2114,29.9,23.93,CBASS_089
CBASS_90,19,24.4522,-81.8774,30.16,23.38,CBASS_090
CBASS_91,11,24.6266,-81.1093,30.26,23.53,CBASS_091
CBASS_92,39,25.1547,-80.2678,29.98,23.88,CBASS_092
CBASS_93,52,25.0183,-80.368,30.03,23.85,CBASS_093
CBASS_94,35,25.1295,-80.2937,30.03,23.93,CBASS_094
CBASS_95,194,25.1367,-80.2902,30.03,23.93,CBASS_095
CBASS_96,41,25.0091,-80.375,30.03,23.85,CBASS_096
CBASS_97,53,25.035,-80.3486,30.03,23.95,CBASS_097
CBASS_98,57,25.2838,-80.2073,29.97,23.9,CBASS_098
CBASS_99,51,25.0098,-80.3743,30.03,23.85,CBASS_099
CBASS_100,87,25.2229,-80.2095,29.9,23.93,CBASS_100
CBASS_102,68,25.1684,-80.2675,29.98,23.88,CBASS_102
CBASS_103,29,25.1713,-80.266,29.98,23.88,CBASS_103
CBASS_104,3,25.1451,-80.2573,29.98,23.93,CBASS_104
CBASS_105,9,24.6326,-81.089,30.26,23.59,CBASS_105
CBASS_106,24,24.546,-81.4047,30.3,23.57,CBASS_106
CBASS_107,5,25.209,-80.2193,29.9,23.93,CBASS_107
CBASS_118,49,25.0331,-80.3512,30.03,23.85,CBASS_118
CBASS_119,83,25.143,-80.258,29.98,23.93,CBASS_119
CBASS_120,60,25.28,-80.2081,29.97,23.9,CBASS_120
CBASS_121,47,25.0341,-80.3493,30.03,23.95,CBASS_121
CBASS_122,84,25.1429,-80.2584,29.98,23.93,CBASS_122
CBASS_123,42,25.0182,-80.3683,30.03,23.85,CBASS_123
CBASS_124,50,25.01,-80.3739,30.03,23.85,CBASS_124
CBASS_125,37,25.1637,-80.2775,29.98,23.88,CBASS_125
CBASS_126,48,25.0338,-80.3494,30.03,23.95,CBASS_126
CBASS_127,86,25.2231,-80.2098,29.9,23.93,CBASS_127
CBASS_128,33,25.1455,-80.2566,29.98,23.93,CBASS_128
CBASS_130,63,25.208,-80.2223,29.9,23.93,CBASS_130
CBASS_131,54,25.1082,-80.3071,30.03,23.82,CBASS_131
CBASS_132,34,24.9849,-80.4187,30,23.83,CBASS_132
CBASS_133,90,24.9895,-80.4177,30,23.83,CBASS_133
CBASS_134,56,25.1119,-80.3034,30.03,23.82,CBASS_134
CBASS_135,72,24.961,-80.4562,29.96,23.73,CBASS_135
CBASS_136,71,24.9606,-80.4569,29.96,23.73,CBASS_136
CBASS_137,79,24.9863,-80.4183,30,23.83,CBASS_137
CBASS_138,38,25.1641,-80.2773,29.98,23.88,CBASS_138
CBASS_139,78,24.9851,-80.4171,30,23.83,CBASS_139
CBASS_140,66,25.1399,-80.2946,30.1,23.93,CBASS_140
CBASS_141,77,25.1858,-80.2183,29.9,23.98,CBASS_141
CBASS_142,28,24.5159,-81.9248,30.43,23.18,CBASS_142
CBASS_143,21,24.5461,-81.4057,30.3,23.57,CBASS_143
CBASS_144,65,25.2241,-80.2108,29.9,23.93,CBASS_144
CBASS_145,4,25.1475,-80.2549,29.98,23.93,CBASS_145
CBASS_146,12,24.626,-81.1103,30.26,23.53,CBASS_146
CBASS_147,32,24.9598,-80.4561,29.96,23.73,CBASS_147
CBASS_148,156,24.9849,-80.4176,30,23.83,CBASS_148
CBASS_149,1,25.1299,-80.2938,30.03,23.93,CBASS_149
CBASS_150,20,24.5457,-81.409,30.3,23.57,CBASS_150
CBASS_151,76,25.1856,-80.2185,29.9,23.98,CBASS_151
CBASS_152,45,25.1439,-80.2578,29.98,23.93,CBASS_152
CBASS_153,88,24.6322,-81.0911,30.26,23.59,CBASS_153
CBASS_154,15,24.6565,-81.0099,30.25,23.5,CBASS_154
CBASS_155,10,24.9815,-80.4222,30.06,23.83,CBASS_155
CBASS_156,74,25.1426,-80.2584,29.98,23.93,CBASS_156
CBASS_158,20,24.5457,-81.409,30.3,23.57,CBASS_158
CBASS_159,14,24.6259,-81.1104,30.26,23.53,CBASS_159
CBASS_160,43,25.1429,-80.2582,29.98,23.93,CBASS_160
CBASS_161,81,25.1867,-80.2421,29.9,23.98,CBASS_161
CBASS_162,59,25.2811,-80.2077,29.97,23.9,CBASS_162
CBASS_163,30,24.9602,-80.4569,29.96,23.73,CBASS_163
CBASS_164,18,24.4533,-81.8755,30.16,23.38,CBASS_164
CBASS_165,23,24.5459,-81.4051,30.3,23.57,CBASS_165
CBASS_166,70,25.0158,-80.4052,30.03,23.75,CBASS_166
CBASS_167,8,24.9855,-80.4165,30,23.83,CBASS_167
CBASS_168,82,25.187,-80.2421,29.9,23.98,CBASS_168
CBASS_169,17,25.0096,-80.3744,30.03,23.85,CBASS_169
CBASS_170,27,24.9861,-80.4157,30,23.83,CBASS_170
CBASS_171,16,25.0098,-80.3743,30.03,23.85,CBASS_171
CBASS_172,22,25.0102,-80.3732,30.03,23.85,CBASS_172
RRT_1,Apal-1,25.1299,-80.2938,30.03,23.93,RRT_1
RRT_10,Apal-140,24.9611,-80.4557,29.96,23.73,RRT_10
RRT_11,Apal-141,24.986,-80.4157,30,23.83,RRT_11
RRT_12,Apal-142,25.0086,-80.3762,30.03,23.85,RRT_12
RRT_13,Apal-143,25.0092,-80.3742,30.03,23.85,RRT_13
RRT_14,Apal-144,25.0101,-80.374,30.03,23.85,RRT_14
RRT_15,Apal-145,25.01,-80.3738,30.03,23.85,RRT_15
RRT_16,Apal-146,25.2809,-80.2076,29.97,23.9,RRT_16
RRT_17,Apal-147,25.0352,-80.349,30.03,23.95,RRT_17
RRT_18,Apal-148,25.0341,-80.3518,30.03,23.85,RRT_18
RRT_19,Apal-149,25.1194,-80.3003,30.03,23.82,RRT_19
RRT_2,Apal-18,24.4531,-81.8756,30.16,23.38,RRT_2
RRT_20,Apal-150,24.5451,-81.4096,30.3,23.57,RRT_20
RRT_21,Apal-151,24.5463,-81.4046,30.3,23.57,RRT_21
RRT_22,Apal-152,25.0091,-80.3766,30.03,23.85,RRT_22
RRT_23,Apal-153,25.0091,-80.3763,30.03,23.85,RRT_23
RRT_24,Apal-154,25.0098,-80.3749,30.03,23.85,RRT_24
RRT_25,Apal-155,24.9855,-80.4167,30,23.83,RRT_25
RRT_26,Apal-156,24.9849,-80.4176,30,23.83,RRT_26
RRT_27,Apal-157,25.2807,-80.2089,29.97,23.9,RRT_27
RRT_28,Apal-158,24.5467,-81.4027,30.3,23.57,RRT_28
RRT_29,Apal-159,24.545,-81.4092,30.3,23.57,RRT_29
RRT_3,Apal-20,24.5457,-81.406,30.3,23.57,RRT_3
RRT_30,Apal-160,25.1425,-80.2584,29.98,23.93,RRT_30
RRT_31,Apal-161,25.1426,-80.2584,29.98,23.93,RRT_31
RRT_32,Apal-162,25.1431,-80.2581,29.98,23.93,RRT_32
RRT_33,Apal-163,25.1431,-80.2582,29.98,23.93,RRT_33
RRT_34,Apal-164,25.1429,-80.2584,29.98,23.93,RRT_34
RRT_35,Apal-165,25.143,-80.2583,29.98,23.93,RRT_35
RRT_36,Apal-166,25.1451,-80.2569,29.98,23.93,RRT_36
RRT_37,Apal-167,25.1389,-80.2615,29.98,23.93,RRT_37
RRT_38,Apal-168,25.1397,-80.2606,29.98,23.93,RRT_38
RRT_39,Apal-169,25.1854,-80.2429,29.9,23.98,RRT_39
RRT_4,Apal-21,24.5461,-81.4057,30.3,23.57,RRT_4
RRT_40,Apal-170,25.1539,-80.2679,29.98,23.88,RRT_40
RRT_41,Apal-171,24.6259,-81.1114,30.26,23.53,RRT_41
RRT_42,Apal-172,24.6259,-81.1115,30.26,23.53,RRT_42
RRT_43,Apal-173,24.6259,-81.1116,30.26,23.53,RRT_43
RRT_44,Apal-174,24.6258,-81.1117,30.26,23.53,RRT_44
RRT_45,Apal-175,24.6258,-81.1119,30.26,23.53,RRT_45
RRT_46,Apal-176,24.6256,-81.112,30.26,23.53,RRT_46
RRT_47,Apal-177,24.6262,-81.1095,30.26,23.53,RRT_47
RRT_48,Apal-178,24.6262,-81.1103,30.26,23.53,RRT_48
RRT_49,Apal-179,24.6259,-81.1105,30.26,23.53,RRT_49
RRT_5,Apal-22,24.5459,-81.405,30.3,23.57,RRT_5
RRT_50,Apal-180,25.1395,-80.2607,29.98,23.93,RRT_50
RRT_51,Apal-181,25.2231,-80.2098,29.9,23.93,RRT_51
RRT_52,Apal-182,25.2239,-80.2093,29.9,23.93,RRT_52
RRT_53,Apal-183,25.2089,-80.2193,29.9,23.93,RRT_53
RRT_54,Apal-184,25.1395,-80.2608,29.98,23.93,RRT_54
RRT_55,Apal-185,25.1398,-80.2941,30.1,23.93,RRT_55
RRT_56,Apal-186,25.1457,-80.2564,29.98,23.93,RRT_56
RRT_57,Apal-187,25.1456,-80.2563,29.98,23.93,RRT_57
RRT_58,Apal-188,25.1458,-80.2561,29.98,23.93,RRT_58
RRT_59,Apal-189,25.14,-80.2603,29.98,23.93,RRT_59
