Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,05-05-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,05-05-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,05-05-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,05-05-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,05-05-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,05-05-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,05-05-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,05-05-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,05-05-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,05-05-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,05-05-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2023-03-15 15:58:52 PM EDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,C:\Applied Biosystems\QuantStudio Design & Analysis Software\User Files\Export\Rich\CR2Apal_June2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Users\INSTR-ADMIN\experiments\Rich\CR2Apal_June2022\RK_CR2Apal_30C_05.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,RK_CR2Apal_30C_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2022-09-02 09:59:24 AM EDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,MTP,EXPFAIL,HIGHSD,NOAMP,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,+,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,34,No Amp,,0,Y,Y,N,N,Y,76.966400146484375,82.2554931640625,90.606704711914062,62.769336700439453
2,A2,FALSE,+,A,UNKNOWN,SYBR,None,27.862430572509766,27.869016647338867,0.0093141160905361176,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.96631165515583461,N,Y,N,N,N,78.775825500488281,68.615188598632812,,
3,A3,FALSE,RAINBOW_RE_01,Apal,UNKNOWN,SYBR,None,22.441051483154297,22.291835784912109,0.21102151274681091,,,,,,,,FALSE,0.01,TRUE,3,21,Amp,,0.56919301285953128,Y,N,N,N,N,75.274200439453125,,,
4,A4,FALSE,RAINBOW_RE_01,A,UNKNOWN,SYBR,None,29.16502571105957,28.949270248413086,0.30512431263923645,,,,,,,,FALSE,0.10000000000000001,TRUE,3,25,Amp,,0.9668750329075344,N,N,N,N,N,88.210830688476562,,,
5,A5,FALSE,RAINBOW_RE_01,Apal,UNKNOWN,SYBR,None,22.142621994018555,22.291835784912109,0.21102151274681091,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.48867263843484499,Y,N,N,N,N,75.120391845703125,,,
6,A6,FALSE,RAINBOW_RE_01,A,UNKNOWN,SYBR,None,28.733514785766602,28.949270248413086,0.30512431263923645,,,,,,,,FALSE,0.10000000000000001,TRUE,3,25,Amp,,0.96618006608696838,N,N,N,N,N,87.9134521484375,,,
7,A7,FALSE,RAINBOW_RE_02,Apal,UNKNOWN,SYBR,None,21.963459014892578,21.816343307495117,0.20805302262306213,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.59888922555571555,Y,N,N,N,N,75.131767272949219,,,
8,A8,FALSE,RAINBOW_RE_02,A,UNKNOWN,SYBR,None,27.985055923461914,27.846853256225586,0.19544808566570282,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.97401821571589398,N,N,N,N,N,87.932228088378906,,,
9,A9,FALSE,RAINBOW_RE_02,Apal,UNKNOWN,SYBR,None,21.669227600097656,21.816343307495117,0.20805302262306213,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.54217827680185848,Y,N,N,N,N,75.294235229492188,,,
10,A10,FALSE,RAINBOW_RE_02,A,UNKNOWN,SYBR,None,27.708650588989258,27.846853256225586,0.19544808566570282,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.96688158135151703,N,N,N,N,N,88.109619140625,,,
11,A11,FALSE,NTC,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,Y,N,Y,78.355857849121094,90.326507568359375,62.905364990234375,86.011505126953125
12,A12,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,Y,N,Y,89.352157592773438,93.388771057128906,75.98956298828125,83.506027221679688
13,B1,FALSE,RAINBOW_RE_03,Apal,UNKNOWN,SYBR,None,19.955738067626953,20.298751831054688,0.48509606719017029,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.33627747038547018,Y,N,N,N,N,75.156967163085938,,,
14,B2,FALSE,RAINBOW_RE_03,A,UNKNOWN,SYBR,None,26.944225311279297,27.021930694580078,0.1098906546831131,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.96915515434561472,N,N,N,N,N,87.822967529296875,,,
15,B3,FALSE,RAINBOW_RE_03,Apal,UNKNOWN,SYBR,None,20.641767501831055,20.298751831054688,0.48509606719017029,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.51279873142655952,Y,N,N,N,N,75.274200439453125,,,
16,B4,FALSE,RAINBOW_RE_03,A,UNKNOWN,SYBR,None,27.099634170532227,27.021930694580078,0.1098906546831131,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.96326818635596811,N,N,N,N,N,87.932624816894531,,,
17,B5,FALSE,RAINBOW_RE_04,Apal,UNKNOWN,SYBR,None,18.672338485717773,18.718572616577148,0.065384931862354279,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.5208289285129758,Y,N,N,N,N,75.120391845703125,,,
18,B6,FALSE,RAINBOW_RE_04,A,UNKNOWN,SYBR,None,24.343769073486328,24.137229919433594,0.29208913445472717,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.95377988019111914,N,N,N,N,N,87.774398803710938,,,
19,B7,FALSE,RAINBOW_RE_04,Apal,UNKNOWN,SYBR,None,18.764806747436523,18.718572616577148,0.065384931862354279,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.51475475327734421,Y,N,N,N,N,75.131767272949219,,,
20,B8,FALSE,RAINBOW_RE_04,A,UNKNOWN,SYBR,None,23.930692672729492,24.137229919433594,0.29208913445472717,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.96225471866619383,N,N,N,N,N,87.7930908203125,,,
21,B9,FALSE,RAINBOW_RE_05,Apal,UNKNOWN,SYBR,None,21.279609680175781,21.329666137695312,0.070790521800518036,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.47211129227525828,Y,N,N,N,N,75.294235229492188,,,
22,B10,FALSE,RAINBOW_RE_05,A,UNKNOWN,SYBR,None,30.822601318359375,30.243049621582031,0.81961119174957275,,,,,,,,FALSE,0.10000000000000001,TRUE,3,27,Amp,,0.94806607870291604,N,N,N,Y,N,88.109619140625,,,
23,B11,FALSE,RAINBOW_RE_05,Apal,UNKNOWN,SYBR,None,21.379722595214844,21.329666137695312,0.070790521800518036,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.5097099709052525,Y,N,N,N,N,75.154403686523438,,,
24,B12,FALSE,RAINBOW_RE_05,A,UNKNOWN,SYBR,None,29.663496017456055,30.243049621582031,0.81961119174957275,,,,,,,,FALSE,0.10000000000000001,TRUE,3,25,Amp,,0.96803944546303022,N,N,N,Y,N,87.960220336914062,,,
25,C1,FALSE,RAINBOW_RE_06,Apal,UNKNOWN,SYBR,None,28.930942535400391,28.644428253173828,0.40519237518310547,,,,,,,,FALSE,0.01,TRUE,3,27,Amp,,0.57334135850143009,Y,N,N,N,N,74.878593444824219,,,
26,C2,FALSE,RAINBOW_RE_06,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,Y,N,Y,70.146240234375,76.688018798828125,87.544601440429688,82.673057556152344
27,C3,FALSE,RAINBOW_RE_06,Apal,UNKNOWN,SYBR,None,28.357913970947266,28.644428253173828,0.40519237518310547,,,,,,,,FALSE,0.01,TRUE,3,27,Amp,,0.65000012667640927,Y,N,N,N,N,74.995986938476562,,,
