Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,05-05-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,05-05-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,05-05-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,05-05-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,05-05-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,05-05-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,05-05-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,05-05-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,05-05-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,05-05-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,05-05-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2023-03-15 16:02:41 PM EDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,C:\Applied Biosystems\QuantStudio Design & Analysis Software\User Files\Export\Rich\CR2Apal_June2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Users\INSTR-ADMIN\experiments\Rich\CR2Apal_June2022\RK_CR2Apal_30C_16.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,RK_CR2Apal_30C_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2022-09-05 12:01:06 PM EDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,EXPFAIL,MTP,NOAMP,Tm1,Tm2,Tm3,Tm4
13,B1,FALSE,+,Apal,UNKNOWN,SYBR,None,Undetermined,29.889677047729492,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,Y,N,66.442855834960938,70.514488220214844,86.37982177734375,61.388412475585938
14,B2,FALSE,+,A,UNKNOWN,SYBR,None,Undetermined,17.958227157592773,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,Y,Y,88.90704345703125,85.53741455078125,62.371219635009766,69.952888488769531
15,B3,FALSE,CR2Apal_30C_166,Apal,UNKNOWN,SYBR,None,21.302934646606445,21.302890777587891,6.2040162447374314e-05,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94863526220944139,N,N,N,N,75.275077819824219,,,
16,B4,FALSE,CR2Apal_30C_166,A,UNKNOWN,SYBR,None,24.644523620605469,24.896324157714844,0.35610109567642212,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95523350318964517,N,N,N,N,88.04486083984375,,,
17,B5,FALSE,CR2Apal_30C_166,Apal,UNKNOWN,SYBR,None,21.302846908569336,21.302890777587891,6.2040162447374314e-05,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94627338448508258,N,N,N,N,75.122955322265625,,,
18,B6,FALSE,CR2Apal_30C_166,A,UNKNOWN,SYBR,None,25.148126602172852,24.896324157714844,0.35610109567642212,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.94950208530289337,N,N,N,N,87.8841552734375,,,
19,B7,FALSE,CR2Apal_30C_143,Apal,UNKNOWN,SYBR,None,21.090415954589844,21.099279403686523,0.012534810230135918,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93811638252861795,N,N,N,N,75.130691528320312,,,
20,B8,FALSE,CR2Apal_30C_143,A,UNKNOWN,SYBR,None,26.694053649902344,26.574846267700195,0.16858468949794769,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.95870719849711983,N,N,N,N,87.898574829101562,,,
21,B9,FALSE,CR2Apal_30C_143,Apal,UNKNOWN,SYBR,None,21.108142852783203,21.099279403686523,0.012534810230135918,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94547156268035082,N,N,N,N,75.290878295898438,,,
22,B10,FALSE,CR2Apal_30C_143,A,UNKNOWN,SYBR,None,26.455638885498047,26.574846267700195,0.16858468949794769,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95038144839036043,N,N,N,N,88.073532104492188,,,
23,B11,FALSE,NTC,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,Y,Y,90.869171142578125,84.411216735839844,71.776084899902344,94.098152160644531
24,B12,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,Y,Y,80.48028564453125,86.095901489257812,90.167221069335938,76.128189086914062
25,C1,FALSE,CR2Apal_30C_167,Apal,UNKNOWN,SYBR,None,20.464694976806641,20.646396636962891,0.25696361064910889,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.96620693020933757,N,N,N,N,75.147727966308594,,,
26,C2,FALSE,CR2Apal_30C_167,A,UNKNOWN,SYBR,None,23.876859664916992,23.944156646728516,0.095172300934791565,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.9566609720903998,N,N,N,N,87.783836364746094,,,
27,C3,FALSE,CR2Apal_30C_167,Apal,UNKNOWN,SYBR,None,20.828096389770508,20.646396636962891,0.25696361064910889,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.92692546213288474,N,N,N,N,75.275077819824219,,,
28,C4,FALSE,CR2Apal_30C_167,A,UNKNOWN,SYBR,None,24.011453628540039,23.944156646728516,0.095172300934791565,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.95060316235882247,N,N,N,N,87.904533386230469,,,
29,C5,FALSE,CR2Apal_30C_168,Apal,UNKNOWN,SYBR,None,20.202640533447266,20.337196350097656,0.19029201567173004,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.91012283972921593,N,N,N,N,75.122955322265625,,,
30,C6,FALSE,CR2Apal_30C_168,A,UNKNOWN,SYBR,None,23.899499893188477,23.793621063232422,0.14973527193069458,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.94968623856862733,N,N,N,N,87.743919372558594,,,
31,C7,FALSE,CR2Apal_30C_168,Apal,UNKNOWN,SYBR,None,20.47175407409668,20.337196350097656,0.19029201567173004,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.92796082516818146,N,N,N,N,75.130691528320312,,,
32,C8,FALSE,CR2Apal_30C_168,A,UNKNOWN,SYBR,None,23.687742233276367,23.793621063232422,0.14973527193069458,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.93473270371586348,N,N,N,N,87.758270263671875,,,
33,C9,FALSE,CR2Apal_30C_169,Apal,UNKNOWN,SYBR,None,20.464012145996094,20.353839874267578,0.15580576658248901,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93306902524007951,N,N,N,N,75.290878295898438,,,
34,C10,FALSE,CR2Apal_30C_169,A,UNKNOWN,SYBR,None,23.869134902954102,23.918540954589844,0.069870710372924805,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.93799725944041112,N,N,N,N,88.073532104492188,,,
35,C11,FALSE,CR2Apal_30C_169,Apal,UNKNOWN,SYBR,None,20.243669509887695,20.353839874267578,0.15580576658248901,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.9366310870233796,N,N,N,N,75.285842895507812,,,
36,C12,FALSE,CR2Apal_30C_169,A,UNKNOWN,SYBR,None,23.967947006225586,23.918540954589844,0.069870710372924805,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.9682523992457327,N,N,N,N,87.920974731445312,,,
37,D1,FALSE,CR2Apal_30C_170,Apal,UNKNOWN,SYBR,None,21.611944198608398,21.704469680786133,0.13085079193115234,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.97001506806103688,N,N,N,N,75.147727966308594,,,
38,D2,FALSE,CR2Apal_30C_170,A,UNKNOWN,SYBR,None,25.855310440063477,25.710136413574219,0.20530572533607483,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95845529037085364,N,N,N,N,87.783836364746094,,,
39,D3,FALSE,CR2Apal_30C_170,Apal,UNKNOWN,SYBR,None,21.796995162963867,21.704469680786133,0.13085079193115234,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.94034960440346138,N,N,N,N,75.134750366210938,,,
40,D4,FALSE,CR2Apal_30C_170,A,UNKNOWN,SYBR,None,25.564964294433594,25.710136413574219,0.20530572533607483,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.9545863540855003,N,N,N,N,87.764205932617188,,,
