Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2023-10-17 15:11:41 PM EDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,C:\Applied Biosystems\QuantStudio Design & Analysis Software\User Files\Export\Rich\CR2Apal_June2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\QuantStudio Design & Analysis Software\User Files\experiments\Rich\CRIIApal_2022\RK_CR2Apal_36C_15.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,RK_CR2Apal_36C_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-10-17 15:11:20 PM EDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,Rn (last cycle),Delta Rn (last cycle),Tm1,Tm2,Tm3,Tm4,CQCONF,EXPFAIL,HIGHSD,MTP
1,A1,FALSE,+,Apal,UNKNOWN,SYBR,None,29.041105270385742,29.237157821655273,0.2772601842880249,,,,,,,,FALSE,0.10000000000000001,TRUE,3,25,Amp,,0.97002492608486812,3.7843554019927979,3.3480169773101807,75.139762878417969,,,,N,N,N,N
2,A2,FALSE,+,A,UNKNOWN,SYBR,None,15.076827049255371,14.959004402160645,0.16662637889385223,,,,,,,,FALSE,0.10000000000000001,TRUE,3,12,Amp,,0.95461578322838703,6.2054729461669922,5.6289043426513672,88.0498046875,,,,N,N,N,N
3,A3,FALSE,CR2Apal_36C_88,Apal,UNKNOWN,SYBR,None,22.095497131347656,21.95246696472168,0.20227520167827606,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.9327982826906609,4.1171092987060547,3.62677001953125,75.265090942382812,,,,N,N,N,N
4,A4,FALSE,CR2Apal_36C_88,A,UNKNOWN,SYBR,None,25.594394683837891,25.499652862548828,0.13398651778697968,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95839683184556879,5.4918918609619141,5.0322790145874023,88.165603637695312,,,,N,N,N,N
5,A5,FALSE,CR2Apal_36C_88,Apal,UNKNOWN,SYBR,None,21.809436798095703,21.95246696472168,0.20227520167827606,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.9326236108707906,4.2287936210632324,3.9095332622528076,74.979850769042969,,,,N,N,N,N
6,A6,FALSE,CR2Apal_36C_88,A,UNKNOWN,SYBR,None,25.404909133911133,25.499652862548828,0.13398651778697968,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95859425396678022,5.7727479934692383,5.3299169540405273,87.877182006835938,,,,N,N,N,N
7,A7,FALSE,CR2Apal_36C_89,Apal,UNKNOWN,SYBR,None,21.894100189208984,21.798549652099609,0.13512887060642242,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.91481053905910659,4.5386819839477539,3.4471228122711182,74.987220764160156,,,,N,N,N,N
8,A8,FALSE,CR2Apal_36C_89,A,UNKNOWN,SYBR,None,26.181608200073242,26.255828857421875,0.1049652099609375,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95405517375856774,5.7161464691162109,5.2903790473937988,87.891571044921875,,,,N,N,N,N
9,A9,FALSE,CR2Apal_36C_89,Apal,UNKNOWN,SYBR,None,21.702999114990234,21.798549652099609,0.13512887060642242,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.88600143523591213,4.9679298400878906,3.4065814018249512,75.1483154296875,,,,N,N,N,N
10,A10,FALSE,CR2Apal_36C_89,A,UNKNOWN,SYBR,None,26.330051422119141,26.255828857421875,0.1049652099609375,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95910090906821921,5.7075724601745605,5.1858563423156738,88.068374633789062,,,,N,N,N,N
11,A11,FALSE,NTC,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,0.42269861698150635,-0.0069497385993599892,88.330551147460938,83.278861999511719,61.38824462890625,64.194732666015625,Y,Y,N,Y
12,A12,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,0.61887872219085693,-0.0128805972635746,75.561019897460938,87.909576416015625,83.138542175292969,80.472373962402344,Y,Y,N,Y
13,B1,FALSE,CR2Apal_36C_90,Apal,UNKNOWN,SYBR,None,21.849395751953125,21.909612655639648,0.085159562528133392,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.9492451497553297,4.0929021835327148,3.597557544708252,74.999435424804688,,,,N,N,N,N
14,B2,FALSE,CR2Apal_36C_90,A,UNKNOWN,SYBR,None,29.573081970214844,29.250450134277344,0.45627167820930481,,,,,,,,FALSE,0.10000000000000001,TRUE,3,25,Amp,,0.95927332205573079,4.7027506828308105,4.275723934173584,87.909469604492188,,,,N,N,N,N
15,B3,FALSE,CR2Apal_36C_90,Apal,UNKNOWN,SYBR,None,21.969829559326172,21.909612655639648,0.085159562528133392,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.94051969272802227,3.9983658790588379,3.5695004463195801,75.124870300292969,,,,N,N,N,N
16,B4,FALSE,CR2Apal_36C_90,A,UNKNOWN,SYBR,None,28.927816390991211,29.250450134277344,0.45627167820930481,,,,,,,,FALSE,0.10000000000000001,TRUE,3,25,Amp,,0.95125619906341929,4.8998122215270996,4.4452524185180664,88.025375366210938,,,,N,N,N,N
17,B5,FALSE,CR2Apal_36C_91,Apal,UNKNOWN,SYBR,None,25.474977493286133,25.359878540039062,0.16277450323104858,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.94540742097732933,4.1102299690246582,3.737905740737915,74.979850769042969,,,,N,N,N,N
18,B6,FALSE,CR2Apal_36C_91,A,UNKNOWN,SYBR,None,28.872440338134766,30.661144256591797,2.5296094417572021,,,,,,,,FALSE,0.10000000000000001,TRUE,3,25,Amp,,0.9554495996655411,5.042473316192627,4.719822883605957,87.736991882324219,,,,N,N,Y,N
19,B7,FALSE,CR2Apal_36C_91,Apal,UNKNOWN,SYBR,None,25.244779586791992,25.359878540039062,0.16277450323104858,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.94434236112812664,4.3313469886779785,3.9719061851501465,74.987220764160156,,,,N,N,N,N
20,B8,FALSE,CR2Apal_36C_91,A,UNKNOWN,SYBR,None,32.449848175048828,30.661144256591797,2.5296094417572021,,,,,,,,FALSE,0.10000000000000001,TRUE,3,28,Amp,,0.94444650168068001,3.7565505504608154,3.3245987892150879,88.031829833984375,,,,N,N,Y,N
21,B9,FALSE,CR2Apal_36C_92,Apal,UNKNOWN,SYBR,None,21.538904190063477,21.487253189086914,0.073045544326305389,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.93502152774363267,4.2972540855407715,3.798259973526001,75.1483154296875,,,,N,N,N,N
22,B10,FALSE,CR2Apal_36C_92,A,UNKNOWN,SYBR,None,24.854818344116211,24.664262771606445,0.26948627829551697,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95263308802465674,5.7718334197998047,5.3219728469848633,88.068374633789062,,,,N,N,N,N
23,B11,FALSE,CR2Apal_36C_92,Apal,UNKNOWN,SYBR,None,21.435602188110352,21.487253189086914,0.073045544326305389,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94280266107689092,3.988203763961792,3.7656354904174805,74.999717712402344,,,,N,N,N,N
24,B12,FALSE,CR2Apal_36C_92,A,UNKNOWN,SYBR,None,24.47370719909668,24.664262771606445,0.26948627829551697,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95078913821872812,5.8173093795776367,5.2851057052612305,87.909576416015625,,,,N,N,N,N
