Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2023-10-17 17:14:39 PM EDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,C:\Applied Biosystems\QuantStudio Design & Analysis Software\User Files\Export\Rich\CR2Apal_June2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\QuantStudio Design & Analysis Software\User Files\experiments\Rich\CRIIApal_2022\RK_CR2Apal_36C_18.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,RK_CR2Apal_36C_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-10-17 17:14:18 PM EDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,Rn (last cycle),Delta Rn (last cycle),Tm1,Tm2,Tm3,Tm4,CQCONF,EXPFAIL,HIGHSD,MTP,NOAMP
1,A1,FALSE,+,Apal,UNKNOWN,SYBR,None,30.788673400878906,30.891965866088867,0.14607760310173035,,,,,,,,FALSE,0.10000000000000001,TRUE,3,25,Amp,,0.9732158864627336,3.5738253593444824,3.1737041473388672,75.125358581542969,,,,N,N,N,N,N
2,A2,FALSE,+,A,UNKNOWN,SYBR,None,15.183167457580566,15.027631759643555,0.21996068954467773,,,,,,,,FALSE,0.10000000000000001,TRUE,3,11,Amp,,0.95624678253809592,6.2456321716308594,5.6828985214233398,88.023979187011719,,,,N,N,N,N,N
3,A3,FALSE,CR2Apal_36C_164,Apal,UNKNOWN,SYBR,None,19.375289916992188,19.499683380126953,0.1759202778339386,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.96585041731386534,4.2755637168884277,3.6367566585540771,75.250320434570312,,,,N,N,N,N,N
4,A4,FALSE,CR2Apal_36C_164,A,UNKNOWN,SYBR,None,25.166383743286133,25.144741058349609,0.030608726665377617,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.97954018206171789,5.5376091003417969,5.0064153671264648,88.139968872070312,,,,N,N,N,N,N
5,A5,FALSE,CR2Apal_36C_164,Apal,UNKNOWN,SYBR,None,19.624078750610352,19.499683380126953,0.1759202778339386,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.95234242502247413,4.2032852172851562,3.7890181541442871,75.106941223144531,,,,N,N,N,N,N
6,A6,FALSE,CR2Apal_36C_164,A,UNKNOWN,SYBR,None,25.123096466064453,25.144741058349609,0.030608726665377617,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95055112166854006,5.7295384407043457,5.2125434875488281,87.855819702148438,,,,N,N,N,N,N
7,A7,FALSE,CR2Apal_36C_165,Apal,UNKNOWN,SYBR,None,23.193485260009766,23.265113830566406,0.10129809379577637,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.94761774461407888,4.1553387641906738,3.7224893569946289,75.119102478027344,,,,N,N,N,N,N
8,A8,FALSE,CR2Apal_36C_165,A,UNKNOWN,SYBR,None,26.822195053100586,27.133335113525391,0.44001850485801697,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.96811316251464541,5.5547633171081543,5.1716594696044922,87.8775634765625,,,,N,N,N,N,N
9,A9,FALSE,CR2Apal_36C_165,Apal,UNKNOWN,SYBR,None,23.336742401123047,23.265113830566406,0.10129809379577637,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.90990353524544043,4.7186388969421387,3.6227743625640869,75.273979187011719,,,,N,N,N,N,N
10,A10,FALSE,CR2Apal_36C_165,A,UNKNOWN,SYBR,None,27.444475173950195,27.133335113525391,0.44001850485801697,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.96943098393599492,5.4847011566162109,5.0638542175292969,88.182586669921875,,,,N,N,N,N,N
11,A11,FALSE,NTC,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,0.39090931415557861,-0.0058813425712287426,87.464195251464844,62.646450042724609,74.985214233398438,65.73114013671875,Y,Y,N,Y,N
12,A12,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,0.58985036611557007,-0.0067508439533412457,89.567398071289062,65.310501098632812,77.929695129394531,69.657112121582031,Y,Y,N,Y,N
13,B1,FALSE,CR2Apal_36C_166,Apal,UNKNOWN,SYBR,None,22.997945785522461,23.135902404785156,0.19509877264499664,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.98568515253376443,4.1851892471313477,3.7518136501312256,75.125358581542969,,,,N,N,N,N,N
14,B2,FALSE,CR2Apal_36C_166,A,UNKNOWN,SYBR,None,27.288150787353516,27.380407333374023,0.13047045469284058,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.97008403825419764,5.2269325256347656,4.8022246360778809,87.883773803710938,,,,N,N,N,N,N
15,B3,FALSE,CR2Apal_36C_166,Apal,UNKNOWN,SYBR,None,23.273857116699219,23.135902404785156,0.19509877264499664,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.95240920246438887,4.1236658096313477,3.7216992378234863,75.250320434570312,,,,N,N,N,N,N
16,B4,FALSE,CR2Apal_36C_166,A,UNKNOWN,SYBR,None,27.472663879394531,27.380407333374023,0.13047045469284058,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.95971200144603852,5.3222165107727051,4.8777470588684082,87.999862670898438,,,,N,N,N,N,N
17,B5,FALSE,CR2Apal_36C_167,Apal,UNKNOWN,SYBR,None,20.902379989624023,20.807308197021484,0.13445316255092621,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94550604486856393,4.2288379669189453,3.7151479721069336,75.106941223144531,,,,N,N,N,N,N
18,B6,FALSE,CR2Apal_36C_167,A,UNKNOWN,SYBR,None,25.950178146362305,25.801177978515625,0.2107180655002594,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.94822212659699512,5.5358099937438965,5.1100649833679199,87.855819702148438,,,,N,N,N,N,N
19,B7,FALSE,CR2Apal_36C_167,Apal,UNKNOWN,SYBR,None,20.712234497070312,20.807308197021484,0.13445316255092621,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.92843404959216425,4.3300509452819824,3.900001049041748,75.119102478027344,,,,N,N,N,N,N
20,B8,FALSE,CR2Apal_36C_167,A,UNKNOWN,SYBR,None,25.652177810668945,25.801177978515625,0.2107180655002594,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95267957971878192,5.7042832374572754,5.1380910873413086,87.737358093261719,,,,N,N,N,N,N
21,B9,FALSE,CR2Apal_36C_168,Apal,UNKNOWN,SYBR,None,21.795738220214844,21.703216552734375,0.13084404170513153,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.94529734566181345,4.2715249061584473,3.7841892242431641,75.273979187011719,,,,N,N,N,N,N
22,B10,FALSE,CR2Apal_36C_168,A,UNKNOWN,SYBR,None,27.480710983276367,27.65235710144043,0.24274426698684692,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.96220252933521844,5.2903995513916016,4.9697442054748535,88.042266845703125,,,,N,N,N,N,N
23,B11,FALSE,CR2Apal_36C_168,Apal,UNKNOWN,SYBR,None,21.610696792602539,21.703216552734375,0.13084404170513153,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94873809075191939,4.1665096282958984,3.9338345527648926,75.12542724609375,,,,N,N,N,N,N
