Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,12-18-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,12-18-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,12-18-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,12-18-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,12-18-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,12-18-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,12-18-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,12-18-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,12-18-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,12-18-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,12-18-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2024-02-09 08:13:32 AM EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\QuantStudio Design & Analysis Software\User Files\experiments\Rich\BleachingSummer2023\Bleaching_Summer2023_65.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,Bleaching_Summer2023_65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-02-08 14:21:04 PM EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,      172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,EXPFAIL,HIGHSD,DRNMIN,MTP,NOAMP,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,+,Acer,UNKNOWN,SYBR,None,24.830,26.869,2.884,,,,,,,,FALSE,0.100,TRUE,3,20,Amp,,0.966,N,N,Y,N,N,N,75.403,,,
2,A2,FALSE,+,A,UNKNOWN,SYBR,None,15.607,15.607,,,,,,,,,FALSE,0.100,TRUE,3,12,Amp,,0.965,N,N,N,N,N,N,88.019,,,
3,A3,FALSE,Bl23_Acer_1263,Acer,UNKNOWN,SYBR,None,23.231,23.247,0.022,,,,,,,,FALSE,0.100,TRUE,3,19,Amp,,0.908,N,N,N,N,N,N,75.390,,,
4,A4,FALSE,Bl23_Acer_1263,A,UNKNOWN,SYBR,None,25.691,25.433,0.365,,,,,,,,FALSE,0.100,TRUE,3,22,Amp,,0.938,N,N,N,N,N,N,88.139,,,
5,A5,FALSE,Bl23_Acer_1263,Acer,UNKNOWN,SYBR,None,23.262,23.247,0.022,,,,,,,,FALSE,0.100,TRUE,3,20,Amp,,0.922,N,N,N,N,N,N,75.249,,,
6,A6,FALSE,Bl23_Acer_1263,A,UNKNOWN,SYBR,None,25.175,25.433,0.365,,,,,,,,FALSE,0.100,TRUE,3,21,Amp,,0.956,N,N,N,N,N,N,87.859,,,
7,A7,FALSE,Bl23_Acer_1264,Acer,UNKNOWN,SYBR,None,21.875,21.640,0.332,,,,,,,,FALSE,0.100,TRUE,3,18,Amp,,0.935,N,N,N,N,N,N,75.259,,,
8,A8,FALSE,Bl23_Acer_1264,A,UNKNOWN,SYBR,None,23.753,23.757,0.005,,,,,,,,FALSE,0.100,TRUE,3,20,Amp,,0.957,N,N,N,N,N,N,87.877,,,
9,A9,FALSE,Bl23_Acer_1264,Acer,UNKNOWN,SYBR,None,21.405,21.640,0.332,,,,,,,,FALSE,0.100,TRUE,3,17,Amp,,0.952,N,N,N,N,N,N,75.555,,,
10,A10,FALSE,Bl23_Acer_1264,A,UNKNOWN,SYBR,None,23.761,23.757,0.005,,,,,,,,FALSE,0.100,TRUE,3,20,Amp,,0.964,N,N,N,N,N,N,88.045,,,
11,A11,FALSE,NTC,Acer,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.100,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,Y,N,80.038,69.098,90.556,93.782
12,A12,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.100,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,Y,N,85.227,89.434,92.940,79.196
13,B1,FALSE,Bl23_Acer_1265,Acer,UNKNOWN,SYBR,None,23.759,23.826,0.094,,,,,,,,FALSE,0.100,TRUE,3,19,Amp,,0.984,N,N,N,N,N,N,75.262,,,
14,B2,FALSE,Bl23_Acer_1265,A,UNKNOWN,SYBR,None,26.137,26.147,0.014,,,,,,,,FALSE,0.100,TRUE,3,22,Amp,,0.961,N,N,N,N,N,N,87.879,,,
15,B3,FALSE,Bl23_Acer_1265,Acer,UNKNOWN,SYBR,None,23.893,23.826,0.094,,,,,,,,FALSE,0.100,TRUE,3,20,Amp,,0.939,N,N,N,N,N,N,75.390,,,
16,B4,FALSE,Bl23_Acer_1265,A,UNKNOWN,SYBR,None,26.157,26.147,0.014,,,,,,,,FALSE,0.100,TRUE,3,22,Amp,,0.952,N,N,N,N,N,N,87.999,,,
17,B5,FALSE,Bl23_Acer_1291,Acer,UNKNOWN,SYBR,None,21.402,21.345,0.081,,,,,,,,FALSE,0.100,TRUE,3,17,Amp,,0.942,N,N,N,N,N,N,75.249,,,
18,B6,FALSE,Bl23_Acer_1291,A,UNKNOWN,SYBR,None,22.504,22.572,0.097,,,,,,,,FALSE,0.100,TRUE,3,18,Amp,,0.937,N,N,N,N,N,N,87.719,,,
19,B7,FALSE,Bl23_Acer_1291,Acer,UNKNOWN,SYBR,None,21.287,21.345,0.081,,,,,,,,FALSE,0.100,TRUE,3,17,Amp,,0.943,N,N,N,N,N,N,75.259,,,
20,B8,FALSE,Bl23_Acer_1291,A,UNKNOWN,SYBR,None,22.640,22.572,0.097,,,,,,,,FALSE,0.100,TRUE,3,19,Amp,,0.950,N,N,N,N,N,N,87.737,,,
21,B9,FALSE,Bl23_Acer_1292,Acer,UNKNOWN,SYBR,None,20.905,20.954,0.070,,,,,,,,FALSE,0.100,TRUE,3,16,Amp,,0.986,N,N,N,N,N,N,75.415,,,
22,B10,FALSE,Bl23_Acer_1292,A,UNKNOWN,SYBR,None,22.957,22.941,0.023,,,,,,,,FALSE,0.100,TRUE,3,19,Amp,,0.954,N,N,N,N,N,N,87.904,,,
23,B11,FALSE,Bl23_Acer_1292,Acer,UNKNOWN,SYBR,None,21.004,20.954,0.070,,,,,,,,FALSE,0.100,TRUE,3,16,Amp,,0.971,N,N,N,N,N,N,75.269,,,
24,B12,FALSE,Bl23_Acer_1292,A,UNKNOWN,SYBR,None,22.924,22.941,0.023,,,,,,,,FALSE,0.100,TRUE,3,19,Amp,,0.954,N,N,N,N,N,N,87.891,,,
25,C1,FALSE,Bl23_Acer_1293,Acer,UNKNOWN,SYBR,None,22.548,22.800,0.357,,,,,,,,FALSE,0.100,TRUE,3,18,Amp,,0.939,N,N,N,N,N,N,75.122,,,
26,C2,FALSE,Bl23_Acer_1293,A,UNKNOWN,SYBR,None,23.240,23.229,0.016,,,,,,,,FALSE,0.100,TRUE,3,19,Amp,,0.947,N,N,N,N,N,N,87.458,,,
27,C3,FALSE,Bl23_Acer_1293,Acer,UNKNOWN,SYBR,None,23.052,22.800,0.357,,,,,,,,FALSE,0.100,TRUE,3,19,Amp,,0.839,N,N,N,N,N,N,75.250,,,
28,C4,FALSE,Bl23_Acer_1293,A,UNKNOWN,SYBR,None,23.217,23.229,0.016,,,,,,,,FALSE,0.100,TRUE,3,19,Amp,,0.953,N,N,N,N,N,N,87.859,,,
29,C5,FALSE,Bl23_Acer_1294,Acer,UNKNOWN,SYBR,None,22.851,22.716,0.191,,,,,,,,FALSE,0.100,TRUE,3,19,Amp,,0.918,N,N,N,N,N,N,75.109,,,
30,C6,FALSE,Bl23_Acer_1294,A,UNKNOWN,SYBR,None,23.843,23.898,0.079,,,,,,,,FALSE,0.100,TRUE,3,20,Amp,,0.950,N,N,N,N,N,N,87.579,,,
31,C7,FALSE,Bl23_Acer_1294,Acer,UNKNOWN,SYBR,None,22.581,22.716,0.191,,,,,,,,FALSE,0.100,TRUE,3,19,Amp,,0.939,N,N,N,N,N,N,75.259,,,
32,C8,FALSE,Bl23_Acer_1294,A,UNKNOWN,SYBR,None,23.954,23.898,0.079,,,,,,,,FALSE,0.100,TRUE,3,19,Amp,,0.941,N,N,N,N,N,N,87.737,,,
33,C9,FALSE,Bl23_Acer_1295,Acer,UNKNOWN,SYBR,None,21.668,21.829,0.228,,,,,,,,FALSE,0.100,TRUE,3,18,Amp,,0.986,N,N,N,N,N,N,75.415,,,
