galaxyCall,nursery,cbassRun,ed50,ed50Adj
Brewster-Y94,UM,1,36.045352555645735,36.57259798654301
Apal-032,UM,1,35.086435154600196,35.7907927347443
Key Largo-G28,UM,1,35.65501006507838,36.23692985424666
Brewster-Y99,UM,1,35.8354596102274,36.32617169519159
Brewster-Y92,UM,1,35.68512734210231,36.319382185518414
AMAP5,UM,1,36.00508120122354,36.67496584796028
AMAP1,UM,1,36.07398787122171,36.778659988714956
Brewster-Y97,UM,1,35.923611415723464,36.68222995484584
Brewster-Y93,UM,1,35.69598290066709,36.531110445276035
Apal-065,UM,1,35.715156799224104,36.41544483702112
Apal-066,UM,1,35.22167628949279,35.91838379664809
Apal-021,UM,1,35.50222553129401,36.1109395819003
Apal-025,UM,1,36.72105222563422,37.23961447108846
Apal-026,UM,1,35.32076366649816,36.05388770612458
Apal-174,UM,1,34.73875626763192,35.581219056541265
Apal-050,UM,1,34.98684567941018,35.65121560941527
Apal-175,UM,1,35.566932841202274,36.14056381252457
Apal-171,UM,1,35.34462238789413,35.95739569344442
Apal-178,UM,1,35.992797493729775,36.66109124501733
Apal-140,UM,1,35.951947491132714,36.77440003504275
Apal-153,UM,1,35.88815079741094,36.55565925978444
Apal-071,UM,1,35.51264085471789,36.18825985424202
Apal-165,UM,1,35.47515167612479,36.33171862962645
Apal-011,UM,1,35.577682738186,36.28943845281749
Apal-016,UM,1,35.646466533821766,36.32077394089031
Apal-162,UM,1,35.25189447350793,35.91989189614979
Apal-160,UM,1,35.18147153291715,35.910889124088165
Apal-155,UM,1,35.301067345099156,36.044378279876696
Apal-163,UM,1,35.44374617649055,36.174091074175124
Apal-028,UM,1,35.893920237805055,36.51537194515595
Apal-172,UM,1,35.22124529320934,35.83347753279468
Apal-159,UM,1,36.817395891669335,37.3715331085858
Apal-164,UM,1,35.36373809899221,36.007718807590436
Apal-154,UM,1,35.99187924725848,36.56487255390091
Apal-150,UM,1,36.8667457882311,37.30407864753493
Apal-034,RR,2,36.82462994124964,36.679657325947026
Apal-018,RR,2,35.74220407288381,35.60927682353559
Apal-176,RR,2,36.39806241843562,36.24249665843429
